,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
427,24203752-c0a3-5fb0-b9d2-f60ba6c072ab24203752-c0a3-5fb0-b9d2-f60ba6c072ab,24203752-c0a3-5fb0-b9d2-f60ba6c072ab,df9d366f-a658-3474-aeef-ab98e5db47d5,ab98e5db47d5,1,Jordan 1 Retro MCS Low,Men's Baseball Cleats,baseball,FOOTWEAR,USD,140,140.0,False,University Red/White/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Bringing the iconic design of the Air Jordan 1 to the ballpark, the Jordan 1 Retro MCS Low has a molded outsole for traction that digs in. Its durable upper delivers a comfortable, supportive fit during games.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/jordan-1-retro-mcs-low-mens-baseball-cleats-bM8M6j/CJ8524-601,24203752-c0a3-5fb0-b9d2-f60ba6c072ab,University Red/White/White,140,140.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/97ebd1f7-c214-415b-9232-73cbf3b9382f/image.jpg"
428,24203752-c0a3-5fb0-b9d2-f60ba6c072abb9ca5f24-4eb6-5241-8a79-db993a34fcbb,24203752-c0a3-5fb0-b9d2-f60ba6c072ab,df9d366f-a658-3474-aeef-ab98e5db47d5,ab98e5db47d5,2,Jordan 1 Retro MCS Low,Men's Baseball Cleats,baseball,FOOTWEAR,USD,140,140.0,False,University Red/White/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Bringing the iconic design of the Air Jordan 1 to the ballpark, the Jordan 1 Retro MCS Low has a molded outsole for traction that digs in. Its durable upper delivers a comfortable, supportive fit during games.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/jordan-1-retro-mcs-low-mens-baseball-cleats-bM8M6j/CJ8524-601,b9ca5f24-4eb6-5241-8a79-db993a34fcbb,Wolf Grey/White/White,140,119.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/7b74cf1a-c666-4662-9614-870e25133997/image.jpg"
429,24203752-c0a3-5fb0-b9d2-f60ba6c072ab9fdb956b-321d-57a1-9b1e-a4b5795b96d4,24203752-c0a3-5fb0-b9d2-f60ba6c072ab,df9d366f-a658-3474-aeef-ab98e5db47d5,ab98e5db47d5,3,Jordan 1 Retro MCS Low,Men's Baseball Cleats,baseball,FOOTWEAR,USD,140,140.0,False,University Red/White/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Bringing the iconic design of the Air Jordan 1 to the ballpark, the Jordan 1 Retro MCS Low has a molded outsole for traction that digs in. Its durable upper delivers a comfortable, supportive fit during games.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/jordan-1-retro-mcs-low-mens-baseball-cleats-bM8M6j/CJ8524-601,9fdb956b-321d-57a1-9b1e-a4b5795b96d4,Game Royal/White/White,140,119.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/9eb35e7c-3592-475a-9fc9-25d3432ff1bd/image.jpg"
430,24203752-c0a3-5fb0-b9d2-f60ba6c072abf3bc140e-32d1-5d64-b2d9-88d0a8fb92d6,24203752-c0a3-5fb0-b9d2-f60ba6c072ab,df9d366f-a658-3474-aeef-ab98e5db47d5,ab98e5db47d5,4,Jordan 1 Retro MCS Low,Men's Baseball Cleats,baseball,FOOTWEAR,USD,140,140.0,False,University Red/White/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Bringing the iconic design of the Air Jordan 1 to the ballpark, the Jordan 1 Retro MCS Low has a molded outsole for traction that digs in. Its durable upper delivers a comfortable, supportive fit during games.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/jordan-1-retro-mcs-low-mens-baseball-cleats-bM8M6j/CJ8524-601,f3bc140e-32d1-5d64-b2d9-88d0a8fb92d6,Black/White/White,140,96.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/a5gw9pj7o1j2ga6gxpw9/image.jpg"
431,14db5e78-256a-51e5-a4a7-db3d964c2c0614db5e78-256a-51e5-a4a7-db3d964c2c06,14db5e78-256a-51e5-a4a7-db3d964c2c06,59e789ee-30c3-4ce8-b775-58fa5f5929c9,58fa5f5929c9,1,Nike Alpha Huarache Elite 4 Mid,Men's Baseball Cleats,baseball,FOOTWEAR,USD,95,95.0,False,Black/Dark Smoke Grey/Light Smoke Grey/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Let the baseball world know what kind of bat-wielding beast you are. The midsole has React foam cushioning, perfect for sprinting around the bags or robbing your opponent of extra bases. The plush, breathable upper sports a strap that helps keep you contained without adding any unnecessary weight. Plus, the grippy rubber traction is tailor-made for all-out effort plays.",4.9,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/alpha-huarache-elite-4-mid-mens-baseball-cleats-JDPv50/DJ6520-011,14db5e78-256a-51e5-a4a7-db3d964c2c06,Black/Dark Smoke Grey/Light Smoke Grey/White,95,95.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/661e4e85-e264-4a84-b029-4414c6077265/image.jpg"
432,14db5e78-256a-51e5-a4a7-db3d964c2c06081fc973-6500-5b23-85af-23ea8d608cac,14db5e78-256a-51e5-a4a7-db3d964c2c06,59e789ee-30c3-4ce8-b775-58fa5f5929c9,58fa5f5929c9,2,Nike Alpha Huarache Elite 4 Mid,Men's Baseball Cleats,baseball,FOOTWEAR,USD,95,95.0,False,Black/Dark Smoke Grey/Light Smoke Grey/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Let the baseball world know what kind of bat-wielding beast you are. The midsole has React foam cushioning, perfect for sprinting around the bags or robbing your opponent of extra bases. The plush, breathable upper sports a strap that helps keep you contained without adding any unnecessary weight. Plus, the grippy rubber traction is tailor-made for all-out effort plays.",4.9,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/alpha-huarache-elite-4-mid-mens-baseball-cleats-JDPv50/DJ6520-011,081fc973-6500-5b23-85af-23ea8d608cac,Hyper Royal/Deep Royal Blue/University Blue/White,95,95.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/5867c2a8-2dfc-40ce-89ca-65635f5e214b/image.jpg"
433,14db5e78-256a-51e5-a4a7-db3d964c2c06c09edf02-3dca-5018-af8a-6f459d101967,14db5e78-256a-51e5-a4a7-db3d964c2c06,59e789ee-30c3-4ce8-b775-58fa5f5929c9,58fa5f5929c9,3,Nike Alpha Huarache Elite 4 Mid,Men's Baseball Cleats,baseball,FOOTWEAR,USD,95,95.0,False,Black/Dark Smoke Grey/Light Smoke Grey/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Let the baseball world know what kind of bat-wielding beast you are. The midsole has React foam cushioning, perfect for sprinting around the bags or robbing your opponent of extra bases. The plush, breathable upper sports a strap that helps keep you contained without adding any unnecessary weight. Plus, the grippy rubber traction is tailor-made for all-out effort plays.",4.9,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/alpha-huarache-elite-4-mid-mens-baseball-cleats-JDPv50/DJ6520-011,c09edf02-3dca-5018-af8a-6f459d101967,Wolf Grey/Cool Grey/Pure Platinum/White,95,95.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b91768a1-58a2-4421-b760-e54e9ecbd46f/image.jpg"
434,14db5e78-256a-51e5-a4a7-db3d964c2c0671c67acc-bd78-5665-a9f3-d9e894f323df,14db5e78-256a-51e5-a4a7-db3d964c2c06,59e789ee-30c3-4ce8-b775-58fa5f5929c9,58fa5f5929c9,4,Nike Alpha Huarache Elite 4 Mid,Men's Baseball Cleats,baseball,FOOTWEAR,USD,95,95.0,False,Black/Dark Smoke Grey/Light Smoke Grey/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Let the baseball world know what kind of bat-wielding beast you are. The midsole has React foam cushioning, perfect for sprinting around the bags or robbing your opponent of extra bases. The plush, breathable upper sports a strap that helps keep you contained without adding any unnecessary weight. Plus, the grippy rubber traction is tailor-made for all-out effort plays.",4.9,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/alpha-huarache-elite-4-mid-mens-baseball-cleats-JDPv50/DJ6520-011,71c67acc-bd78-5665-a9f3-d9e894f323df,White/Wolf Grey/Pure Platinum/Black,95,80.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/905d031a-192e-4f73-b1eb-080f2baeda85/image.jpg"
435,72e700bf-80be-5b43-869e-0e4fdfa1c7d072e700bf-80be-5b43-869e-0e4fdfa1c7d0,72e700bf-80be-5b43-869e-0e4fdfa1c7d0,bbe220af-ffe2-4918-b285-bc4c984de962,bc4c984de962,1,Nike Alpha Huarache Elite 4 Low,Men's Baseball Cleats,baseball,FOOTWEAR,USD,90,90.0,False,Hyper Royal/Deep Royal Blue/University Blue/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Let the baseball world know what kind of bat-wielding beast you are. The midsole has React foam cushioning, perfect for sprinting around the bags or robbing your opponent of extra bases. The plush, breathable upper sports a strap that helps keep you contained without adding any unnecessary weight. Plus, the grippy rubber traction is tailor-made for all-out effort plays.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/alpha-huarache-elite-4-low-mens-baseball-cleats-KhWfZJ/DJ6521-414,72e700bf-80be-5b43-869e-0e4fdfa1c7d0,Hyper Royal/Deep Royal Blue/University Blue/White,90,90.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/95e8c9c9-20df-4838-8020-cac860eec784/image.jpg"
436,72e700bf-80be-5b43-869e-0e4fdfa1c7d084d6b594-6fd0-5ea4-96c0-3c09b710fe9d,72e700bf-80be-5b43-869e-0e4fdfa1c7d0,bbe220af-ffe2-4918-b285-bc4c984de962,bc4c984de962,2,Nike Alpha Huarache Elite 4 Low,Men's Baseball Cleats,baseball,FOOTWEAR,USD,90,90.0,False,Hyper Royal/Deep Royal Blue/University Blue/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Let the baseball world know what kind of bat-wielding beast you are. The midsole has React foam cushioning, perfect for sprinting around the bags or robbing your opponent of extra bases. The plush, breathable upper sports a strap that helps keep you contained without adding any unnecessary weight. Plus, the grippy rubber traction is tailor-made for all-out effort plays.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/alpha-huarache-elite-4-low-mens-baseball-cleats-KhWfZJ/DJ6521-414,84d6b594-6fd0-5ea4-96c0-3c09b710fe9d,Black/Dark Smoke Grey/Light Smoke Grey/White,90,90.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/60839d30-0796-44fb-98fd-39ee798acae3/image.jpg"
