,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
315,483b4ae9-927f-5004-9591-41e2feadc884483b4ae9-927f-5004-9591-41e2feadc884,483b4ae9-927f-5004-9591-41e2feadc884,bf998121-7fc9-4c28-8cb4-3cf91bd3d8b9,3cf91bd3d8b9,1,LeBron XX UN EP,Basketball Shoes,basketball,FOOTWEAR,USD,200,200.0,False,Black/Hyper Royal/Topaz Gold/Coconut Milk,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Two decades into a career exceeding every lofty expectation, LeBron James has refused to settle for anything less than greatness, even when he was the one setting the standard for generations to come. Now, his latest signature shoe is lighter, low to the ground and turbo-like. It’s unlike any design LeBron has donned before—comfortable and supportive, yet low-cut, feathery-fast and created to stay ahead of today’s frenzied style of play. The sandy pebble base and wavy blue vibes are vintage South Beach, nods to Bron’s budding interests both in and outside the game.",0,False,False,True,False,False,False,False,False,False,True,False,False,False,JUST_IN,,https://www.nike.com/t/lebron-xx-un-ep-basketball-shoes-ct1qVm/FN0941-001,483b4ae9-927f-5004-9591-41e2feadc884,Black/Hyper Royal/Topaz Gold/Coconut Milk,200,200.0,False,False,True,True,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/eef7599d-26a0-41cf-ad4d-b02acec42050/image.jpg"
316,483b4ae9-927f-5004-9591-41e2feadc884f1548ec7-fe15-5aa5-bf5d-362efdef4f25,483b4ae9-927f-5004-9591-41e2feadc884,bf998121-7fc9-4c28-8cb4-3cf91bd3d8b9,3cf91bd3d8b9,2,LeBron XX UN EP,Basketball Shoes,basketball,FOOTWEAR,USD,200,200.0,False,Black/Hyper Royal/Topaz Gold/Coconut Milk,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Two decades into a career exceeding every lofty expectation, LeBron James has refused to settle for anything less than greatness, even when he was the one setting the standard for generations to come. Now, his latest signature shoe is lighter, low to the ground and turbo-like. It’s unlike any design LeBron has donned before—comfortable and supportive, yet low-cut, feathery-fast and created to stay ahead of today’s frenzied style of play. The sandy pebble base and wavy blue vibes are vintage South Beach, nods to Bron’s budding interests both in and outside the game.",0,False,False,True,False,False,False,False,False,False,True,False,False,False,JUST_IN,,https://www.nike.com/t/lebron-xx-un-ep-basketball-shoes-ct1qVm/FN0941-001,f1548ec7-fe15-5aa5-bf5d-362efdef4f25,White/Black/University Red/Metallic Gold,200,170.97,True,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/bfdd6180-32a2-47d3-8463-ba8ffd646abd/image.jpg"
317,483b4ae9-927f-5004-9591-41e2feadc884ed32a66a-826b-51c1-882f-dd65b29cd114,483b4ae9-927f-5004-9591-41e2feadc884,bf998121-7fc9-4c28-8cb4-3cf91bd3d8b9,3cf91bd3d8b9,3,LeBron XX UN EP,Basketball Shoes,basketball,FOOTWEAR,USD,200,200.0,False,Black/Hyper Royal/Topaz Gold/Coconut Milk,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Two decades into a career exceeding every lofty expectation, LeBron James has refused to settle for anything less than greatness, even when he was the one setting the standard for generations to come. Now, his latest signature shoe is lighter, low to the ground and turbo-like. It’s unlike any design LeBron has donned before—comfortable and supportive, yet low-cut, feathery-fast and created to stay ahead of today’s frenzied style of play. The sandy pebble base and wavy blue vibes are vintage South Beach, nods to Bron’s budding interests both in and outside the game.",0,False,False,True,False,False,False,False,False,False,True,False,False,False,JUST_IN,,https://www.nike.com/t/lebron-xx-un-ep-basketball-shoes-ct1qVm/FN0941-001,ed32a66a-826b-51c1-882f-dd65b29cd114,Black/White/Pure Platinum/Metallic Gold,200,200.0,False,True,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b02f1507-2801-49e7-bf73-46500533c01c/image.jpg"
318,483b4ae9-927f-5004-9591-41e2feadc8843ee250f7-9534-5a7e-bfec-2b53480ade8b,483b4ae9-927f-5004-9591-41e2feadc884,bf998121-7fc9-4c28-8cb4-3cf91bd3d8b9,3cf91bd3d8b9,4,LeBron XX UN EP,Basketball Shoes,basketball,FOOTWEAR,USD,200,200.0,False,Black/Hyper Royal/Topaz Gold/Coconut Milk,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Two decades into a career exceeding every lofty expectation, LeBron James has refused to settle for anything less than greatness, even when he was the one setting the standard for generations to come. Now, his latest signature shoe is lighter, low to the ground and turbo-like. It’s unlike any design LeBron has donned before—comfortable and supportive, yet low-cut, feathery-fast and created to stay ahead of today’s frenzied style of play. The sandy pebble base and wavy blue vibes are vintage South Beach, nods to Bron’s budding interests both in and outside the game.",0,False,False,True,False,False,False,False,False,False,True,False,False,False,JUST_IN,,https://www.nike.com/t/lebron-xx-un-ep-basketball-shoes-ct1qVm/FN0941-001,3ee250f7-9534-5a7e-bfec-2b53480ade8b,Total Orange/Green Strike/Hot Punch/Vivid Purple,200,170.97,True,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/ec858e0d-e5bb-4cf9-8863-e27c34f8685e/image.jpg"
319,483b4ae9-927f-5004-9591-41e2feadc884f3ad21c3-4dc3-5384-8f90-511afb5cefe1,483b4ae9-927f-5004-9591-41e2feadc884,bf998121-7fc9-4c28-8cb4-3cf91bd3d8b9,3cf91bd3d8b9,5,LeBron XX UN EP,Basketball Shoes,basketball,FOOTWEAR,USD,200,200.0,False,Black/Hyper Royal/Topaz Gold/Coconut Milk,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Two decades into a career exceeding every lofty expectation, LeBron James has refused to settle for anything less than greatness, even when he was the one setting the standard for generations to come. Now, his latest signature shoe is lighter, low to the ground and turbo-like. It’s unlike any design LeBron has donned before—comfortable and supportive, yet low-cut, feathery-fast and created to stay ahead of today’s frenzied style of play. The sandy pebble base and wavy blue vibes are vintage South Beach, nods to Bron’s budding interests both in and outside the game.",0,False,False,True,False,False,False,False,False,False,True,False,False,False,JUST_IN,,https://www.nike.com/t/lebron-xx-un-ep-basketball-shoes-ct1qVm/FN0941-001,f3ad21c3-4dc3-5384-8f90-511afb5cefe1,Gym Red/Burgundy Crush/Black/University Red,210,178.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/db74312b-6881-448a-9049-e5b191ca2166/image.jpg"
320,483b4ae9-927f-5004-9591-41e2feadc8840aa828bd-0d01-5ab1-ac30-844dc547854d,483b4ae9-927f-5004-9591-41e2feadc884,bf998121-7fc9-4c28-8cb4-3cf91bd3d8b9,3cf91bd3d8b9,6,LeBron XX UN EP,Basketball Shoes,basketball,FOOTWEAR,USD,200,200.0,False,Black/Hyper Royal/Topaz Gold/Coconut Milk,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Two decades into a career exceeding every lofty expectation, LeBron James has refused to settle for anything less than greatness, even when he was the one setting the standard for generations to come. Now, his latest signature shoe is lighter, low to the ground and turbo-like. It’s unlike any design LeBron has donned before—comfortable and supportive, yet low-cut, feathery-fast and created to stay ahead of today’s frenzied style of play. The sandy pebble base and wavy blue vibes are vintage South Beach, nods to Bron’s budding interests both in and outside the game.",0,False,False,True,False,False,False,False,False,False,True,False,False,False,JUST_IN,,https://www.nike.com/t/lebron-xx-un-ep-basketball-shoes-ct1qVm/FN0941-001,0aa828bd-0d01-5ab1-ac30-844dc547854d,Multi-Color/Multi-Color,210,210.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/60b02510-281b-4a96-80f9-00654aa02827/image.jpg"
321,483b4ae9-927f-5004-9591-41e2feadc88424461901-9883-50b6-855c-4453d10c25b7,483b4ae9-927f-5004-9591-41e2feadc884,bf998121-7fc9-4c28-8cb4-3cf91bd3d8b9,3cf91bd3d8b9,7,LeBron XX UN EP,Basketball Shoes,basketball,FOOTWEAR,USD,200,200.0,False,Black/Hyper Royal/Topaz Gold/Coconut Milk,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Two decades into a career exceeding every lofty expectation, LeBron James has refused to settle for anything less than greatness, even when he was the one setting the standard for generations to come. Now, his latest signature shoe is lighter, low to the ground and turbo-like. It’s unlike any design LeBron has donned before—comfortable and supportive, yet low-cut, feathery-fast and created to stay ahead of today’s frenzied style of play. The sandy pebble base and wavy blue vibes are vintage South Beach, nods to Bron’s budding interests both in and outside the game.",0,False,False,True,False,False,False,False,False,False,True,False,False,False,JUST_IN,,https://www.nike.com/t/lebron-xx-un-ep-basketball-shoes-ct1qVm/FN0941-001,24461901-9883-50b6-855c-4453d10c25b7,Light Silver/Lemon Chiffon/Safety Orange/Hyper Royal,200,200.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/624ad88d-56fa-4efe-ae87-de99be2698d5/image.jpg"
322,addd9847-bde2-55d3-9907-5e18ca2f6d94addd9847-bde2-55d3-9907-5e18ca2f6d94,addd9847-bde2-55d3-9907-5e18ca2f6d94,d7f142ec-1c5d-49c2-8e54-bfad02c4f715,bfad02c4f715,1,LeBron XX,Big Kids' Basketball Shoes,basketball,FOOTWEAR,USD,160,160.0,False,Light Silver/Lemon Chiffon/Hot Punch/Hyper Royal,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","There’s a reason LeBron James is considered one of the best. From racking up MVPs to winning championships, the King has shattered expectations on the court for nearly 2 decades. Celebrate that dominance in the LeBron XX (or LeBron 20), the 20th edition of his signature shoe. With Zoom Air cushioning and a super lightweight feel, they’ll help you run, jump and compete until the final buzzer sounds.",4.8,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/lebron-xx-big-kids-basketball-shoes-03km3N/DQ8651-002,addd9847-bde2-55d3-9907-5e18ca2f6d94,Light Silver/Lemon Chiffon/Hot Punch/Hyper Royal,160,160.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/7fed7de0-d1a1-4ba2-af3c-37658548b76a/image.jpg"
323,addd9847-bde2-55d3-9907-5e18ca2f6d944ba557bd-11e7-5e86-ade7-3c4629d10bf8,addd9847-bde2-55d3-9907-5e18ca2f6d94,d7f142ec-1c5d-49c2-8e54-bfad02c4f715,bfad02c4f715,2,LeBron XX,Big Kids' Basketball Shoes,basketball,FOOTWEAR,USD,160,160.0,False,Light Silver/Lemon Chiffon/Hot Punch/Hyper Royal,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","There’s a reason LeBron James is considered one of the best. From racking up MVPs to winning championships, the King has shattered expectations on the court for nearly 2 decades. Celebrate that dominance in the LeBron XX (or LeBron 20), the 20th edition of his signature shoe. With Zoom Air cushioning and a super lightweight feel, they’ll help you run, jump and compete until the final buzzer sounds.",4.8,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/lebron-xx-big-kids-basketball-shoes-03km3N/DQ8651-002,4ba557bd-11e7-5e86-ade7-3c4629d10bf8,White/Black/University Red/Metallic Gold,160,136.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4d658f1d-7825-415c-9320-707079d60628/image.jpg"
324,addd9847-bde2-55d3-9907-5e18ca2f6d943142291a-5a81-55bb-828d-254748d7346e,addd9847-bde2-55d3-9907-5e18ca2f6d94,d7f142ec-1c5d-49c2-8e54-bfad02c4f715,bfad02c4f715,3,LeBron XX,Big Kids' Basketball Shoes,basketball,FOOTWEAR,USD,160,160.0,False,Light Silver/Lemon Chiffon/Hot Punch/Hyper Royal,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","There’s a reason LeBron James is considered one of the best. From racking up MVPs to winning championships, the King has shattered expectations on the court for nearly 2 decades. Celebrate that dominance in the LeBron XX (or LeBron 20), the 20th edition of his signature shoe. With Zoom Air cushioning and a super lightweight feel, they’ll help you run, jump and compete until the final buzzer sounds.",4.8,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/lebron-xx-big-kids-basketball-shoes-03km3N/DQ8651-002,3142291a-5a81-55bb-828d-254748d7346e,Black/White/Pure Platinum/Metallic Gold,160,160.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e978484d-c310-46fe-8411-1fd657a218e3/image.jpg"
