,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
403,15796c88-420a-5f95-b0e0-6aebc68ffa8215796c88-420a-5f95-b0e0-6aebc68ffa82,15796c88-420a-5f95-b0e0-6aebc68ffa82,b7f0b1e2-6adf-362a-80df-bce29e411a8d,bce29e411a8d,1,"Nike SFB 6"" Leather",Men's Boot,boot,FOOTWEAR,USD,155,131.97,True,Black/Light Taupe/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike SFB 6"" Leather Men's Boot brings the Special Field Boot to Nike Sportswear for the first time as a SneakerBoot, complete with weather-resistant leather and a rugged traction pattern.",4.3,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/sfb-6-leather-mens-boot-l3Ngv1/862507-002,15796c88-420a-5f95-b0e0-6aebc68ffa82,Black/Light Taupe/Black,155,131.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/7a39151f-ebd2-4824-9afb-59e52c46a54d/image.jpg"
404,458f93da-87f1-58a0-9f9b-fbbaae9bbbe4458f93da-87f1-58a0-9f9b-fbbaae9bbbe4,458f93da-87f1-58a0-9f9b-fbbaae9bbbe4,e496f349-ce16-4497-946c-e19ce5e2334a,e19ce5e2334a,1,Nike Free Crater Trail Boot N7,Men's Shoes,boot,FOOTWEAR,USD,160,160.0,False,Olive Flak/Cargo Khaki/Light Orewood Brown/Habanero Red,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The latest N7 Collection celebrates the connection between Indigenous athletes, creators and cultural game-changers. These trail boots pair revolutionary design and symbolic craft with an innovative lacing system (a first of its kind). The nature-inspired color palette delivers seasonal flair, while premium materials like nubuck leather, corn-derived plastic accents and a cozy, fleece-like liner let functionality, style and comfort work together. And that Nike Free technology? It gives you a barefoot-like feel, so you can play the way you’re meant to. Are you ready to take it outside?",0,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/free-crater-trail-boot-n7-mens-shoes-BGzBdj/DX5946-300,458f93da-87f1-58a0-9f9b-fbbaae9bbbe4,Olive Flak/Cargo Khaki/Light Orewood Brown/Habanero Red,160,160.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/436925ed-36f9-44d7-abd0-97ffd6cc5ada/image.jpg"
405,f08c7e4e-cc65-5923-a4d6-190ead1011a8f08c7e4e-cc65-5923-a4d6-190ead1011a8,f08c7e4e-cc65-5923-a4d6-190ead1011a8,4f584603-ef2f-3fe0-a51f-76f2eab36561,76f2eab36561,1,Nike SFB Gen 2 8”,Tactical Boot,boot,FOOTWEAR,USD,140,140.0,False,Black/Black/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Made with durable nylon canvas and synthetic leather, the Nike SFB Gen 2 8” is a lightweight tactical boot designed for speed and flexibility over rough terrain. Inspired by Nike Free technology, the flexible sole is equipped with an aggressive traction pattern for multi-surface grip and an internal rock shield to help prevent punctures.",3.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/sfb-gen-2-8-tactical-boot-ZwTJlXe3/922474-001,f08c7e4e-cc65-5923-a4d6-190ead1011a8,Black/Black/Black,140,140.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/ygil7q2pr3ncwexcs9fd/image.jpg"
406,134d2a95-89fd-5d80-87f4-2c0b9c56e992134d2a95-89fd-5d80-87f4-2c0b9c56e992,134d2a95-89fd-5d80-87f4-2c0b9c56e992,d3a5bc33-d78b-4904-9d0b-ee7de5a7bec4,ee7de5a7bec4,1,Nike ACG Air Zoom Gaiadome GORE-TEX,Shoes,boot,FOOTWEAR,USD,230,230.0,False,Black/Black,"['SNKRS', 'NikeApp', 'Nike.com', 'Nike Store Experiences']","Warning: these boots will take you places. Forged from heavy-duty materials, they include GORE-TEX technology and large lugs finely tuned to steep mountain slopes. Put simply, they're specifically designed for whatever you want to do out there—hike, backpack or simply explore.",3.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/acg-air-zoom-gaiadome-gore-tex-shoes-JWxGVN/DD2858-001,134d2a95-89fd-5d80-87f4-2c0b9c56e992,Black/Black,230,230.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/db25c437-fe24-486d-a801-8339592bb239/image.jpg"
407,7101a8a7-e87d-58f6-928a-3794b7ec40f87101a8a7-e87d-58f6-928a-3794b7ec40f8,7101a8a7-e87d-58f6-928a-3794b7ec40f8,a68c96b6-38f2-34e3-be4b-d3e7356427a3,d3e7356427a3,1,Nike Woodside 2 High ACG,Big Kids' Boots,boot,FOOTWEAR,USD,90,76.97,True,Black/Black/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Picture this: You've laced up your ACG boots and you're ready to tackle that cool-weather quest. Don't worry, a warm lining and padding around the ankles help you conquer the chills. Heading into the forest after a fresh rain? A rubber overlay wraps the upper to help keep your toes dry. These boots are designed to be durable while you hike and stomp through almost any trail—are you ready for your next adventure?",4.8,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/woodside-2-high-acg-big-kids-boots-aG0LdZ/524872-004,7101a8a7-e87d-58f6-928a-3794b7ec40f8,Black/Black/Black,90,76.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/ihes96ae8ae0oxctwljq/image.jpg"
408,88da3760-7ca2-5ba4-9650-be0dae9d246b88da3760-7ca2-5ba4-9650-be0dae9d246b,88da3760-7ca2-5ba4-9650-be0dae9d246b,52c5c22e-9885-34c8-8baa-5ab63bf39286,5ab63bf39286,1,"Nike SFB Gen 2 8"" Leather",Tactical Boot,boot,FOOTWEAR,USD,140,140.0,False,Coyote/Coyote/Coyote,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","DA PAM 670-1 compliant, the Nike SFB Gen 2 8” Leather is a lightweight tactical boot designed for speed and flexibility over rough terrain. Inspired by Nike Free technology, the flexible sole is equipped with an aggressive tread pattern for multi-surface traction and an internal rock shield to help prevent punctures.",3.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/sfb-gen-2-8-leather-ERTBqbmb/922471-900,88da3760-7ca2-5ba4-9650-be0dae9d246b,Coyote/Coyote/Coyote,140,140.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/gsciuupedsrehjfm6q8m/sfb-gen-2-8-leather-ERTBqbmb.jpg"
409,e4d30681-83fd-58f4-b0fa-959e989f5784e4d30681-83fd-58f4-b0fa-959e989f5784,e4d30681-83fd-58f4-b0fa-959e989f5784,7df6eeb1-7489-3a7f-aa5e-859cd02fce1f,859cd02fce1f,1,Nike Lunar Force 1,Men's Duckboot,boot,FOOTWEAR,USD,180,144.97,True,Black/Metallic Silver/Anthracite/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","When it's colder than the far side of the moon and spitting rain too, you still got to look good. From water-repellent leather to a rugged outsole, the Lunar Force 1 adapts AF1 style so you can keep your flame burning when the weather hits. Metal lace hardware and extended tongue bring mountain boot toughness, while the star studded toe design gives your look the edge.",4.4,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/lunar-force-1-mens-duckboot-tTZklH/805899-003,e4d30681-83fd-58f4-b0fa-959e989f5784,Black/Metallic Silver/Anthracite/Black,180,144.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/caba1058-b10b-485a-9ac6-adccebf72d06/image.jpg"
410,7909a740-e2a8-527e-85ff-1f9d3311c36d7909a740-e2a8-527e-85ff-1f9d3311c36d,7909a740-e2a8-527e-85ff-1f9d3311c36d,82171204-b220-4367-9d12-b9ff856d1e63,b9ff856d1e63,1,Nike Manoa Leather SE,Men's Boots,boot,FOOTWEAR,USD,105,105.0,False,Rugged Orange/Armory Navy/Summit White/Rugged Orange,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Durable leather, breathable textile and rugged lugs combine to create the Nike Manoa Boot—your perfect city-to-trail boot. Heavy-duty details include a webbing pull tab, hexagonal metal eyelets and a durable rubber outsole. The padded, mid-height collar is easy to style and feels great.",4.4,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/manoa-leather-se-mens-boots-WHfT6c/DC8892-800,7909a740-e2a8-527e-85ff-1f9d3311c36d,Rugged Orange/Armory Navy/Summit White/Rugged Orange,105,105.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/ec409e11-781b-4dbe-8232-c998543a5a21/image.jpg"
411,3877ed4a-77ca-5440-8bd5-f222e5e4e6c53877ed4a-77ca-5440-8bd5-f222e5e4e6c5,3877ed4a-77ca-5440-8bd5-f222e5e4e6c5,8f34e118-dec5-3105-87df-0aa27cbf24a6,0aa27cbf24a6,1,Nike Woodside 2 High ACG,Big Kids' Boots,boot,FOOTWEAR,USD,90,59.97,True,Wheat/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Picture this: You've laced up your ACG boots and you're ready to tackle that cool-weather quest. Don't worry, a warm lining and padding around the ankles help you conquer the chills. Heading into the forest after a fresh rain? A rubber overlay wraps the upper to help keep your toes dry. These boots are designed to be durable while you hike and stomp through almost any trail—are you ready for your next adventure?",4.8,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/woodside-2-high-acg-big-kids-boots-aG0LdZ/524872-703,3877ed4a-77ca-5440-8bd5-f222e5e4e6c5,Wheat/Black,90,59.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/boakpneklqbiwunbrxnx/image.jpg"
412,e54aae9a-514f-51dc-867b-91b2e2037461e54aae9a-514f-51dc-867b-91b2e2037461,e54aae9a-514f-51dc-867b-91b2e2037461,0e721df2-d4e2-318f-a90e-6f9c5c586bbc,6f9c5c586bbc,1,"Nike SFB Field 2 8"" GORE-TEX",Tactical Boot,boot,FOOTWEAR,USD,190,161.97,True,Black/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Made with waterproof fabric and durable leather, the Nike SFB Field 2 8"" GORE-TEX is a lightweight yet high-performance boot designed to support heavier loads in all theaters. The sole is equipped with an aggressive tread pattern that provides exceptional traction over challenging terrain, while an internal rock shield helps prevent punctures.",4.3,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/sfb-field-2-8-gore-tex-tactical-boot-hk7SJs/AQ1199-001,e54aae9a-514f-51dc-867b-91b2e2037461,Black/Black,190,161.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/13554aa0-f411-4c7e-8cc1-3aa855eb74f3/image.jpg"
