,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
276,68d0b8dc-4a32-5483-a14a-d144dbda09eb68d0b8dc-4a32-5483-a14a-d144dbda09eb,68d0b8dc-4a32-5483-a14a-d144dbda09eb,672e6705-5a97-4051-830a-08547ec46876,08547ec46876,1,Nike Alpha Menace Elite 3,Men's Football Cleats,football,FOOTWEAR,USD,200,200.0,False,Game Royal/University Blue/Summit White/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Alpha Menace Elite 3 takes on-field performance to the highest level with a revamped design that combines support, stability and propulsive traction to help you create separation or close in on the competition. Wider-set cleats give you commanding grip on the field. It adds a light, tough cover over the top that keeps it streamlined through your most intense plays.",4.1,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/alpha-menace-elite-3-mens-football-cleats-glPXC2/CT6648-414,68d0b8dc-4a32-5483-a14a-d144dbda09eb,Game Royal/University Blue/Summit White/White,200,200.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/376d6771-3796-4a00-8543-63e19f6a9506/image.jpg"
277,68d0b8dc-4a32-5483-a14a-d144dbda09eb7839896e-7d33-5ba3-bad2-a2e3e6622402,68d0b8dc-4a32-5483-a14a-d144dbda09eb,672e6705-5a97-4051-830a-08547ec46876,08547ec46876,2,Nike Alpha Menace Elite 3,Men's Football Cleats,football,FOOTWEAR,USD,200,200.0,False,Game Royal/University Blue/Summit White/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Alpha Menace Elite 3 takes on-field performance to the highest level with a revamped design that combines support, stability and propulsive traction to help you create separation or close in on the competition. Wider-set cleats give you commanding grip on the field. It adds a light, tough cover over the top that keeps it streamlined through your most intense plays.",4.1,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/alpha-menace-elite-3-mens-football-cleats-glPXC2/CT6648-414,7839896e-7d33-5ba3-bad2-a2e3e6622402,White/Particle Grey/Opti Yellow/Black,200,150.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4ef600ea-709f-4c8c-b6c9-20f8849d1f0d/image.jpg"
278,68d0b8dc-4a32-5483-a14a-d144dbda09eb069bcbf9-9fc0-56f3-b1aa-01f021f583a4,68d0b8dc-4a32-5483-a14a-d144dbda09eb,672e6705-5a97-4051-830a-08547ec46876,08547ec46876,3,Nike Alpha Menace Elite 3,Men's Football Cleats,football,FOOTWEAR,USD,200,200.0,False,Game Royal/University Blue/Summit White/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Alpha Menace Elite 3 takes on-field performance to the highest level with a revamped design that combines support, stability and propulsive traction to help you create separation or close in on the competition. Wider-set cleats give you commanding grip on the field. It adds a light, tough cover over the top that keeps it streamlined through your most intense plays.",4.1,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/alpha-menace-elite-3-mens-football-cleats-glPXC2/CT6648-414,069bcbf9-9fc0-56f3-b1aa-01f021f583a4,White/College Navy/Racer Blue/Black,200,200.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/8c12403f-3867-4bc3-b067-8c6afe007a67/image.jpg"
279,68d0b8dc-4a32-5483-a14a-d144dbda09ebc68ce035-d2ce-5699-9e6f-f1efaeac22cf,68d0b8dc-4a32-5483-a14a-d144dbda09eb,672e6705-5a97-4051-830a-08547ec46876,08547ec46876,4,Nike Alpha Menace Elite 3,Men's Football Cleats,football,FOOTWEAR,USD,200,200.0,False,Game Royal/University Blue/Summit White/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Alpha Menace Elite 3 takes on-field performance to the highest level with a revamped design that combines support, stability and propulsive traction to help you create separation or close in on the competition. Wider-set cleats give you commanding grip on the field. It adds a light, tough cover over the top that keeps it streamlined through your most intense plays.",4.1,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/alpha-menace-elite-3-mens-football-cleats-glPXC2/CT6648-414,c68ce035-d2ce-5699-9e6f-f1efaeac22cf,White/University Red/Bright Crimson/Black,200,200.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/59f72d21-99e0-40f4-927e-ace5b68c66d0/image.jpg"
280,68d0b8dc-4a32-5483-a14a-d144dbda09eb2ad7ac06-bcf0-51df-a664-25b1cbc8308d,68d0b8dc-4a32-5483-a14a-d144dbda09eb,672e6705-5a97-4051-830a-08547ec46876,08547ec46876,5,Nike Alpha Menace Elite 3,Men's Football Cleats,football,FOOTWEAR,USD,200,200.0,False,Game Royal/University Blue/Summit White/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Alpha Menace Elite 3 takes on-field performance to the highest level with a revamped design that combines support, stability and propulsive traction to help you create separation or close in on the competition. Wider-set cleats give you commanding grip on the field. It adds a light, tough cover over the top that keeps it streamlined through your most intense plays.",4.1,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/alpha-menace-elite-3-mens-football-cleats-glPXC2/CT6648-414,2ad7ac06-bcf0-51df-a664-25b1cbc8308d,Black/Iron Grey/Opti Yellow/White,200,200.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c1d92334-8406-41af-a56f-5a6912dd8654/image.jpg"
281,8a4ecc66-2b3a-587c-9495-5c87df8e10b58a4ecc66-2b3a-587c-9495-5c87df8e10b5,8a4ecc66-2b3a-587c-9495-5c87df8e10b5,10ec4a0c-075d-4c60-b53d-bb8af7b66a1b,bb8af7b66a1b,1,Nike Vapor Edge Elite 360 2,Men's Football Cleats,football,FOOTWEAR,USD,200,200.0,False,White/Pure Platinum/Metallic Silver,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Create game-breaking separation that can make the difference between a modest gain and a house call in the Nike Vapor Edge Elite 360 2. Execute razor-sharp cuts at full speed with wide stud placements and an internal plate that creates flexible support.,0,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/vapor-edge-elite-360-2-mens-football-cleats-LdsghK/DA5457-100,8a4ecc66-2b3a-587c-9495-5c87df8e10b5,White/Pure Platinum/Metallic Silver,200,200.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/0517f1e6-cdfb-4fd7-9890-32e32a0a26a2/image.jpg"
282,8a4ecc66-2b3a-587c-9495-5c87df8e10b50322dfc8-8140-5890-b57c-dd7e856c07ff,8a4ecc66-2b3a-587c-9495-5c87df8e10b5,10ec4a0c-075d-4c60-b53d-bb8af7b66a1b,bb8af7b66a1b,2,Nike Vapor Edge Elite 360 2,Men's Football Cleats,football,FOOTWEAR,USD,200,200.0,False,White/Pure Platinum/Metallic Silver,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Create game-breaking separation that can make the difference between a modest gain and a house call in the Nike Vapor Edge Elite 360 2. Execute razor-sharp cuts at full speed with wide stud placements and an internal plate that creates flexible support.,0,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/vapor-edge-elite-360-2-mens-football-cleats-LdsghK/DA5457-100,0322dfc8-8140-5890-b57c-dd7e856c07ff,Black/Dark Smoke Grey/Iron Grey/White,200,200.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/97f229d0-53b7-4545-8f3a-d5364c77187c/image.jpg"
283,8a4ecc66-2b3a-587c-9495-5c87df8e10b5f4bf9312-ae44-5158-a161-37cf94dd40ff,8a4ecc66-2b3a-587c-9495-5c87df8e10b5,10ec4a0c-075d-4c60-b53d-bb8af7b66a1b,bb8af7b66a1b,3,Nike Vapor Edge Elite 360 2,Men's Football Cleats,football,FOOTWEAR,USD,200,200.0,False,White/Pure Platinum/Metallic Silver,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Create game-breaking separation that can make the difference between a modest gain and a house call in the Nike Vapor Edge Elite 360 2. Execute razor-sharp cuts at full speed with wide stud placements and an internal plate that creates flexible support.,0,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/vapor-edge-elite-360-2-mens-football-cleats-LdsghK/DA5457-100,f4bf9312-ae44-5158-a161-37cf94dd40ff,Light Smoke Grey/White/Khaki/Black,200,170.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/04664da2-06cd-4dc6-94d3-f4b6909f5f84/image.jpg"
284,8a4ecc66-2b3a-587c-9495-5c87df8e10b5ed3783e4-9f00-56ef-b024-d3c83bd11500,8a4ecc66-2b3a-587c-9495-5c87df8e10b5,10ec4a0c-075d-4c60-b53d-bb8af7b66a1b,bb8af7b66a1b,4,Nike Vapor Edge Elite 360 2,Men's Football Cleats,football,FOOTWEAR,USD,200,200.0,False,White/Pure Platinum/Metallic Silver,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Create game-breaking separation that can make the difference between a modest gain and a house call in the Nike Vapor Edge Elite 360 2. Execute razor-sharp cuts at full speed with wide stud placements and an internal plate that creates flexible support.,0,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/vapor-edge-elite-360-2-mens-football-cleats-LdsghK/DA5457-100,ed3783e4-9f00-56ef-b024-d3c83bd11500,Black/Blue Lightning/Active Fuchsia/White,210,178.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/0c43aa93-8fb4-4748-99a6-de4b80d506b3/image.jpg"
285,8a4ecc66-2b3a-587c-9495-5c87df8e10b5018574ce-347b-58ba-b0c2-f155774bab2b,8a4ecc66-2b3a-587c-9495-5c87df8e10b5,10ec4a0c-075d-4c60-b53d-bb8af7b66a1b,bb8af7b66a1b,5,Nike Vapor Edge Elite 360 2,Men's Football Cleats,football,FOOTWEAR,USD,200,200.0,False,White/Pure Platinum/Metallic Silver,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Create game-breaking separation that can make the difference between a modest gain and a house call in the Nike Vapor Edge Elite 360 2. Execute razor-sharp cuts at full speed with wide stud placements and an internal plate that creates flexible support.,0,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/vapor-edge-elite-360-2-mens-football-cleats-LdsghK/DA5457-100,018574ce-347b-58ba-b0c2-f155774bab2b,White/Phantom/Laser Orange/Light Crimson,210,210.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/cba1178a-7348-4ea2-8edc-b1c95f70f69f/image.jpg"
