,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
520,965932da-e377-546c-bbb4-252792e765f7965932da-e377-546c-bbb4-252792e765f7,965932da-e377-546c-bbb4-252792e765f7,e44fda4a-0b54-4e8a-a4d8-cd96a2346849,cd96a2346849,1,Nike Free Metcon 4,Women's Training Shoes,hiit,FOOTWEAR,USD,120,120.0,False,Summit White/Hyper Pink/White/Blackened Blue,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,True,False,False,False,False,False,False,False,False,BEST_SELLER,,https://www.nike.com/t/free-metcon-4-womens-training-shoes-pxHVt9/CZ0596-101,965932da-e377-546c-bbb4-252792e765f7,Summit White/Hyper Pink/White/Blackened Blue,120,120.0,False,True,True,False,False,BEST_SELLER,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/d54c4c91-d4d0-414d-a667-7964b9309e9a/image.jpg"
521,965932da-e377-546c-bbb4-252792e765f7d1020795-95a8-5f73-9ec4-f632ca84e55c,965932da-e377-546c-bbb4-252792e765f7,e44fda4a-0b54-4e8a-a4d8-cd96a2346849,cd96a2346849,2,Nike Free Metcon 4,Women's Training Shoes,hiit,FOOTWEAR,USD,120,120.0,False,Summit White/Hyper Pink/White/Blackened Blue,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,True,False,False,False,False,False,False,False,False,BEST_SELLER,,https://www.nike.com/t/free-metcon-4-womens-training-shoes-pxHVt9/CZ0596-101,d1020795-95a8-5f73-9ec4-f632ca84e55c,Black/Black/Volt/White,120,120.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e9f15565-65a7-41d4-af6d-fbb18086a6f0/image.jpg"
522,965932da-e377-546c-bbb4-252792e765f7462f69cb-66c4-5ef8-b50c-3d4724d087ca,965932da-e377-546c-bbb4-252792e765f7,e44fda4a-0b54-4e8a-a4d8-cd96a2346849,cd96a2346849,3,Nike Free Metcon 4,Women's Training Shoes,hiit,FOOTWEAR,USD,120,120.0,False,Summit White/Hyper Pink/White/Blackened Blue,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,True,False,False,False,False,False,False,False,False,BEST_SELLER,,https://www.nike.com/t/free-metcon-4-womens-training-shoes-pxHVt9/CZ0596-101,462f69cb-66c4-5ef8-b50c-3d4724d087ca,Black/Mica Green/Cosmic Fuchsia/Noise Aqua,120,120.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/00f79d75-1056-477a-845a-7017fca55d8a/image.jpg"
523,965932da-e377-546c-bbb4-252792e765f771884a47-de91-57bc-81b8-1274435f5d01,965932da-e377-546c-bbb4-252792e765f7,e44fda4a-0b54-4e8a-a4d8-cd96a2346849,cd96a2346849,4,Nike Free Metcon 4,Women's Training Shoes,hiit,FOOTWEAR,USD,120,120.0,False,Summit White/Hyper Pink/White/Blackened Blue,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,True,False,False,False,False,False,False,False,False,BEST_SELLER,,https://www.nike.com/t/free-metcon-4-womens-training-shoes-pxHVt9/CZ0596-101,71884a47-de91-57bc-81b8-1274435f5d01,White/Mint Foam/University Blue/Metallic Silver,120,120.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1b36b256-9c42-49ad-afb5-db0e337a453e/image.jpg"
524,965932da-e377-546c-bbb4-252792e765f78df0d5f9-bb2d-5dda-bf4e-c006e48e6a26,965932da-e377-546c-bbb4-252792e765f7,e44fda4a-0b54-4e8a-a4d8-cd96a2346849,cd96a2346849,5,Nike Free Metcon 4,Women's Training Shoes,hiit,FOOTWEAR,USD,120,120.0,False,Summit White/Hyper Pink/White/Blackened Blue,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,True,False,False,False,False,False,False,False,False,BEST_SELLER,,https://www.nike.com/t/free-metcon-4-womens-training-shoes-pxHVt9/CZ0596-101,8df0d5f9-bb2d-5dda-bf4e-c006e48e6a26,Arctic Orange/Football Grey/Cave Purple/Ghost Green,120,120.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b6854fe1-84ff-4fc0-a229-c02c66facb3c/image.jpg"
525,965932da-e377-546c-bbb4-252792e765f70e9ecac2-281b-510c-b098-dc5cf5ba997b,965932da-e377-546c-bbb4-252792e765f7,e44fda4a-0b54-4e8a-a4d8-cd96a2346849,cd96a2346849,6,Nike Free Metcon 4,Women's Training Shoes,hiit,FOOTWEAR,USD,120,120.0,False,Summit White/Hyper Pink/White/Blackened Blue,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,True,False,False,False,False,False,False,False,False,BEST_SELLER,,https://www.nike.com/t/free-metcon-4-womens-training-shoes-pxHVt9/CZ0596-101,0e9ecac2-281b-510c-b098-dc5cf5ba997b,Rush Fuchsia/Pearl Pink/Volt/Black,120,120.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/75307114-3936-44e3-8fbe-784ce3e9284d/image.jpg"
526,965932da-e377-546c-bbb4-252792e765f7eec64cd2-2dd1-5882-9608-4654c4721931,965932da-e377-546c-bbb4-252792e765f7,e44fda4a-0b54-4e8a-a4d8-cd96a2346849,cd96a2346849,7,Nike Free Metcon 4,Women's Training Shoes,hiit,FOOTWEAR,USD,120,120.0,False,Summit White/Hyper Pink/White/Blackened Blue,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,True,False,False,False,False,False,False,False,False,BEST_SELLER,,https://www.nike.com/t/free-metcon-4-womens-training-shoes-pxHVt9/CZ0596-101,eec64cd2-2dd1-5882-9608-4654c4721931,Sweet Beet/Pink Rise/White/Cave Purple,120,120.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c412e027-e917-4e23-9159-b87d9f794974/image.jpg"
527,8101d7ec-1a85-5fb9-b75b-4641e13bfa088101d7ec-1a85-5fb9-b75b-4641e13bfa08,8101d7ec-1a85-5fb9-b75b-4641e13bfa08,d8936890-d102-34ac-8c69-70d3ec188106,70d3ec188106,1,Nike SuperRep Go,Men's Training Shoes,hiit,FOOTWEAR,USD,100,49.97,True,Black/Martian Sunrise/Gum Light Brown/Sea Glass,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike SuperRep Go combines comfortable foam cushioning, flexibility and support to get you moving in circuit-based fitness classes or while streaming workouts at home.",3.4,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/superrep-go-mens-training-shoes-19sK4X/CJ0773-002,8101d7ec-1a85-5fb9-b75b-4641e13bfa08,Black/Martian Sunrise/Gum Light Brown/Sea Glass,100,49.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1f8f0812-89c4-47bb-a481-38860687f1cd/image.jpg"
528,ec3c39df-06ea-5cf0-aa45-f776888ab794ec3c39df-06ea-5cf0-aa45-f776888ab794,ec3c39df-06ea-5cf0-aa45-f776888ab794,8877a962-6144-3d6a-814f-38212473ac11,38212473ac11,1,Nike Flex Control 4,Men's Training Shoes,hiit,FOOTWEAR,USD,70,70.0,False,White/Smoke Grey/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Emphasizing lightweight comfort and stability, the Nike Flex Control 4 is tailored to explosive workouts. Its lightweight, flexible upper has a midfoot strap for stability, while the sole has deep flex grooves to let your foot move naturally.",4.5,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/flex-control-4-mens-training-shoes-14Z62l/CD0197-100,ec3c39df-06ea-5cf0-aa45-f776888ab794,White/Smoke Grey/Black,70,70.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1d55c75b-d673-4fe5-bd3d-c6e7f8507808/image.jpg"
529,ec3c39df-06ea-5cf0-aa45-f776888ab79435c82d0a-aae9-5bd3-9f92-811fc9f18227,ec3c39df-06ea-5cf0-aa45-f776888ab794,8877a962-6144-3d6a-814f-38212473ac11,38212473ac11,2,Nike Flex Control 4,Men's Training Shoes,hiit,FOOTWEAR,USD,70,70.0,False,White/Smoke Grey/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Emphasizing lightweight comfort and stability, the Nike Flex Control 4 is tailored to explosive workouts. Its lightweight, flexible upper has a midfoot strap for stability, while the sole has deep flex grooves to let your foot move naturally.",4.5,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/flex-control-4-mens-training-shoes-14Z62l/CD0197-100,35c82d0a-aae9-5bd3-9f92-811fc9f18227,Black/Dark Smoke Grey/Smoke Grey/White,70,70.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b032abc3-ec58-4857-a216-81b36a9f8fdd/image.jpg"
