,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
564,64bfb5d8-e3ac-57ad-9a21-6ea08c73840164bfb5d8-e3ac-57ad-9a21-6ea08c738401,64bfb5d8-e3ac-57ad-9a21-6ea08c738401,0cf18c76-ebf3-4753-a381-69760d736c4d,69760d736c4d,1,Nike Air More Uptempo x Serena Williams Design Crew,Shoes,lifestyle,FOOTWEAR,USD,180,180.0,False,Dark Obsidian/Space Purple/Volt/Summit White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Ready to excite? Celebrating Serena's penchant for flair (specifically that on-court, denim skirt moment), this fresh take on on the coveted hoops icon flawlessly blends fashion with sport. From the raw-edged, hemp upper to the metallic lace hooks to the Swoosh, you'll be sure to awe the crowd with these denim-inspired details.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/air-more-uptempo-x-serena-williams-design-crew-shoes-tJvj1B/DX4219-400,64bfb5d8-e3ac-57ad-9a21-6ea08c738401,Dark Obsidian/Space Purple/Volt/Summit White,180,180.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/0ba21216-838e-4500-86ed-68030ddb9ecd/image.jpg"
565,36f08d1c-a83b-5d46-aac7-c4d00af1b35236f08d1c-a83b-5d46-aac7-c4d00af1b352,36f08d1c-a83b-5d46-aac7-c4d00af1b352,c1f538ba-881c-4ac5-9039-27df1d04d349,27df1d04d349,1,Nike Air Max 90 Futura x Serena Williams Design Crew,Shoes,lifestyle,FOOTWEAR,USD,150,150.0,False,Hemp/Sanddrift/Summit White/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","With its handcrafted feel and mixed materials, this Serena-inspired design delivers a sophisticated look that celebrates you being you. Easy-to-style colors let you wear it again and again, while energetic details like intricate layering and fresh branding bring a special aura to any outfit. Oh, and because we believe discovery is part of the fun, we've hidden small treasures throughout the shoes. Lace up and reveal your potential.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/air-max-90-futura-x-serena-williams-design-crew-shoes-J3MxNt/DX4221-200,36f08d1c-a83b-5d46-aac7-c4d00af1b352,Hemp/Sanddrift/Summit White/White,150,150.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b1542b11-e2e4-4970-b6eb-906f30271eb5/image.jpg"
566,c347cba0-6a84-55bd-8b78-e02ebdfbffcfc347cba0-6a84-55bd-8b78-e02ebdfbffcf,c347cba0-6a84-55bd-8b78-e02ebdfbffcf,f8eb33f0-1722-4114-ac9e-6c9a11c5d624,6c9a11c5d624,1,Nike Air Force 1 x Serena Williams Design Crew,Shoes,lifestyle,FOOTWEAR,USD,140,140.0,False,Lapis/Metallic Gold/Lapis,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Inspired by Serena. Worn by you. Channel your inner icon in a shoe designed to celebrate the diverse perspectives of the Serena Williams Design Crew for athletes everywhere. The graphics and colors inject a shot of energy into the look, while the purple and gilded details make your feet feel majestic. Her goal in this capsule was simple—for future generations to see it and think, ""I can do it too.""",3.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/air-force-1-x-serena-williams-design-crew-shoes-XH4MP1/DR9842-400,c347cba0-6a84-55bd-8b78-e02ebdfbffcf,Lapis/Metallic Gold/Lapis,140,140.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4c43c557-3b27-4a41-9b77-cc95aace3dba/image.jpg"
567,ea475ecc-af84-5501-8b7d-f583c0acbc0dea475ecc-af84-5501-8b7d-f583c0acbc0d,ea475ecc-af84-5501-8b7d-f583c0acbc0d,5d1044ba-b1a0-4955-9c71-3ef1c37d5b48,3ef1c37d5b48,1,Nike Dunk Low SE,Women's Shoes,lifestyle,FOOTWEAR,USD,110,110.0,False,Sail/Cashmere/Team Gold/Sail,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Lace up and make your mark in shoes that carry a legacy. A legend in the basketball world and an icon in skate culture, the Nike Dunk has been a sneaker favorite for decades. A durable canvas upper gives this special edition a new look and feel while screen-printed graphics celebrate the future.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/dunk-low-se-womens-shoes-wXTkMh/FD0868-133,ea475ecc-af84-5501-8b7d-f583c0acbc0d,Sail/Cashmere/Team Gold/Sail,110,110.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/26e69356-9de4-4b43-acfe-8d7037631363/image.jpg"
568,17834eed-bde3-5c9a-ba90-e09ccd95651f17834eed-bde3-5c9a-ba90-e09ccd95651f,17834eed-bde3-5c9a-ba90-e09ccd95651f,085e7edc-1b79-4558-a799-a3f645afef3c,a3f645afef3c,1,Nike Go FlyEase,Easy On/Off Shoes,lifestyle,FOOTWEAR,USD,125,125.0,False,Black/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Ditch the laces and get outside. These kicks feature Nike's revolutionary FlyEase technology, making on-and-off a breeze. With a heel that pivots open for a totally hands-free entry, they're great for people with limited mobility—or anyone who wants a quicker way to get going.",4.3,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/go-flyease-easy-on-off-shoes-LGmqKx/DR5540-002,17834eed-bde3-5c9a-ba90-e09ccd95651f,Black/White,125,125.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c76e2119-acb7-4944-9085-d4f5ae2bda4a/image.jpg"
569,17834eed-bde3-5c9a-ba90-e09ccd95651fc9e075b5-19a6-565e-8fde-cec1ed68afd3,17834eed-bde3-5c9a-ba90-e09ccd95651f,085e7edc-1b79-4558-a799-a3f645afef3c,a3f645afef3c,2,Nike Go FlyEase,Easy On/Off Shoes,lifestyle,FOOTWEAR,USD,125,125.0,False,Black/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Ditch the laces and get outside. These kicks feature Nike's revolutionary FlyEase technology, making on-and-off a breeze. With a heel that pivots open for a totally hands-free entry, they're great for people with limited mobility—or anyone who wants a quicker way to get going.",4.3,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/go-flyease-easy-on-off-shoes-LGmqKx/DR5540-002,c9e075b5-19a6-565e-8fde-cec1ed68afd3,White/Sail/Phantom/Black,125,125.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c21073e8-15c2-4de2-ba12-49260daf2dcf/image.jpg"
570,17834eed-bde3-5c9a-ba90-e09ccd95651f426318b8-d932-5020-84cb-187fe2643d6f,17834eed-bde3-5c9a-ba90-e09ccd95651f,085e7edc-1b79-4558-a799-a3f645afef3c,a3f645afef3c,3,Nike Go FlyEase,Easy On/Off Shoes,lifestyle,FOOTWEAR,USD,125,125.0,False,Black/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Ditch the laces and get outside. These kicks feature Nike's revolutionary FlyEase technology, making on-and-off a breeze. With a heel that pivots open for a totally hands-free entry, they're great for people with limited mobility—or anyone who wants a quicker way to get going.",4.3,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/go-flyease-easy-on-off-shoes-LGmqKx/DR5540-002,426318b8-d932-5020-84cb-187fe2643d6f,White/Black,125,125.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/3251a6d3-13bd-4fc1-8874-272b554f44a1/image.jpg"
571,b315de1e-b426-53e2-8911-c96c4a46be9bb315de1e-b426-53e2-8911-c96c4a46be9b,b315de1e-b426-53e2-8911-c96c4a46be9b,599adde0-158d-4523-a0d6-403bcd241ef6,403bcd241ef6,1,Air Jordan 7 Retro,Men's Shoes,lifestyle,FOOTWEAR,USD,210,210.0,False,White/Cardinal Red/Chutney/Black,"['SNKRS', 'NikeApp', 'Nike.com', 'Nike Store Experiences']","Inspired by the shoe originally worn by MJ during the '92 season and summer of basketball, the Air Jordan 7 Retro revives its championship legacy for a new generation of sneakerheads.",4.8,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/air-jordan-7-retro-mens-shoes-098sXt/CU9307-106,b315de1e-b426-53e2-8911-c96c4a46be9b,White/Cardinal Red/Chutney/Black,210,210.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/27dccc44-1449-4372-9ad8-177a025e47f6/image.jpg"
572,8d14673c-850b-595a-86cc-64a9a7db009e8d14673c-850b-595a-86cc-64a9a7db009e,8d14673c-850b-595a-86cc-64a9a7db009e,49bc020d-24e7-4ab1-8c35-39b298dc092c,39b298dc092c,1,Nike Air Force 1 '07,Men's Shoes,lifestyle,FOOTWEAR,USD,110,110.0,False,Black/Black/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a fresh spin on what you know best: ‘80s-inspired construction, bold details and nothin’-but-net style.",4.4,False,False,True,False,True,False,False,False,False,False,False,False,False,BEST_SELLER,,https://www.nike.com/t/air-force-1-07-mens-shoes-rXkGJX/DV0788-001,8d14673c-850b-595a-86cc-64a9a7db009e,Black/Black/White,110,110.0,False,True,True,False,False,BEST_SELLER,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/3f3e7049-5c99-428c-abcd-e246b086f2ed/image.jpg"
573,8d14673c-850b-595a-86cc-64a9a7db009e4d227f28-2cf0-5093-97fd-e20bbabb9496,8d14673c-850b-595a-86cc-64a9a7db009e,49bc020d-24e7-4ab1-8c35-39b298dc092c,39b298dc092c,2,Nike Air Force 1 '07,Men's Shoes,lifestyle,FOOTWEAR,USD,110,110.0,False,Black/Black/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a fresh spin on what you know best: ‘80s-inspired construction, bold details and nothin’-but-net style.",4.4,False,False,True,False,True,False,False,False,False,False,False,False,False,BEST_SELLER,,https://www.nike.com/t/air-force-1-07-mens-shoes-rXkGJX/DV0788-001,4d227f28-2cf0-5093-97fd-e20bbabb9496,Picante Red/White/Picante Red,110,110.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/15e812de-951a-4548-a526-242b9e49c92b/image.jpg"
