,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
65,518be20d-705d-53df-8f97-aed076166d7a518be20d-705d-53df-8f97-aed076166d7a,518be20d-705d-53df-8f97-aed076166d7a,17eaf6fd-59fa-4b5a-8e39-abfee51541d3,abfee51541d3,1,Nike Pegasus 40,Women's Road Running Shoes,running,FOOTWEAR,USD,130,130.0,False,White/Blue Tint/Laser Orange/Picante Red,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","A springy ride for every run, the Peg’s familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. Whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/pegasus-40-womens-road-running-shoes-bF2QL9/DV3854-102,518be20d-705d-53df-8f97-aed076166d7a,White/Blue Tint/Laser Orange/Picante Red,130,130.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/77d852dd-48bf-427c-9a38-dc71229666e7/image.jpg"
66,518be20d-705d-53df-8f97-aed076166d7a0de2ebdf-1ab5-5dcc-a23e-fb7621038d03,518be20d-705d-53df-8f97-aed076166d7a,17eaf6fd-59fa-4b5a-8e39-abfee51541d3,abfee51541d3,2,Nike Pegasus 40,Women's Road Running Shoes,running,FOOTWEAR,USD,130,130.0,False,White/Blue Tint/Laser Orange/Picante Red,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","A springy ride for every run, the Peg’s familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. Whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/pegasus-40-womens-road-running-shoes-bF2QL9/DV3854-102,0de2ebdf-1ab5-5dcc-a23e-fb7621038d03,White/Coconut Milk/Black,130,130.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/d41feaae-15f4-4b1e-bb72-34d96bdee9be/image.jpg"
67,518be20d-705d-53df-8f97-aed076166d7a4c5a3ecf-159b-592f-942e-6267a780e7f9,518be20d-705d-53df-8f97-aed076166d7a,17eaf6fd-59fa-4b5a-8e39-abfee51541d3,abfee51541d3,3,Nike Pegasus 40,Women's Road Running Shoes,running,FOOTWEAR,USD,130,130.0,False,White/Blue Tint/Laser Orange/Picante Red,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","A springy ride for every run, the Peg’s familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. Whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/pegasus-40-womens-road-running-shoes-bF2QL9/DV3854-102,4c5a3ecf-159b-592f-942e-6267a780e7f9,White/Pure Platinum/Metallic Silver,130,130.0,False,False,False,False,False,COMING_SOON,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/71d7d638-b77e-4e78-866f-6a6687b37c01/image.jpg"
68,518be20d-705d-53df-8f97-aed076166d7a2dee3c7e-d849-54ee-ac01-42f5a228b66f,518be20d-705d-53df-8f97-aed076166d7a,17eaf6fd-59fa-4b5a-8e39-abfee51541d3,abfee51541d3,4,Nike Pegasus 40,Women's Road Running Shoes,running,FOOTWEAR,USD,130,130.0,False,White/Blue Tint/Laser Orange/Picante Red,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","A springy ride for every run, the Peg’s familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. Whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/pegasus-40-womens-road-running-shoes-bF2QL9/DV3854-102,2dee3c7e-d849-54ee-ac01-42f5a228b66f,Black/Iron Grey/White,130,130.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c7cb9718-41c1-4c79-b13c-ab85e4c1cf75/image.jpg"
69,518be20d-705d-53df-8f97-aed076166d7a5fa06669-e2d5-52cb-b5e2-9103cc001720,518be20d-705d-53df-8f97-aed076166d7a,17eaf6fd-59fa-4b5a-8e39-abfee51541d3,abfee51541d3,5,Nike Pegasus 40,Women's Road Running Shoes,running,FOOTWEAR,USD,130,130.0,False,White/Blue Tint/Laser Orange/Picante Red,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","A springy ride for every run, the Peg’s familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. Whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/pegasus-40-womens-road-running-shoes-bF2QL9/DV3854-102,5fa06669-e2d5-52cb-b5e2-9103cc001720,Pearl Pink/Pink Foam/Hemp/White,130,130.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e462698f-a806-4b9f-980b-cdd06c4c43b8/image.jpg"
70,518be20d-705d-53df-8f97-aed076166d7a29d262d1-7632-5bad-95f4-1c208c59357a,518be20d-705d-53df-8f97-aed076166d7a,17eaf6fd-59fa-4b5a-8e39-abfee51541d3,abfee51541d3,6,Nike Pegasus 40,Women's Road Running Shoes,running,FOOTWEAR,USD,130,130.0,False,White/Blue Tint/Laser Orange/Picante Red,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","A springy ride for every run, the Peg’s familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. Whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/pegasus-40-womens-road-running-shoes-bF2QL9/DV3854-102,29d262d1-7632-5bad-95f4-1c208c59357a,Volt/Barely Volt/Bright Crimson/Volt,130,130.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/2d85a046-1457-42f0-a49d-9c2fb2f6e4cc/image.jpg"
71,5a42040d-48c1-52a0-95e4-6fff7013851f5a42040d-48c1-52a0-95e4-6fff7013851f,5a42040d-48c1-52a0-95e4-6fff7013851f,7e97af00-6624-4b26-8dc5-af46dddd5d78,af46dddd5d78,1,Nike Pegasus 40,Men's Road Running Shoes,running,FOOTWEAR,USD,130,130.0,False,White/Coconut Milk/Volt/Multi-Color,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","A springy ride for every run, the Peg’s familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. Whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/pegasus-40-mens-road-running-shoes-h3bxQl/DV3853-101,5a42040d-48c1-52a0-95e4-6fff7013851f,White/Coconut Milk/Volt/Multi-Color,130,130.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/be33804b-50b9-4851-9bc4-1d9b534b9c4f/image.jpg"
72,5a42040d-48c1-52a0-95e4-6fff7013851f8c48735a-c504-57b0-bede-44dfcece99e7,5a42040d-48c1-52a0-95e4-6fff7013851f,7e97af00-6624-4b26-8dc5-af46dddd5d78,af46dddd5d78,2,Nike Pegasus 40,Men's Road Running Shoes,running,FOOTWEAR,USD,130,130.0,False,White/Coconut Milk/Volt/Multi-Color,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","A springy ride for every run, the Peg’s familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. Whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/pegasus-40-mens-road-running-shoes-h3bxQl/DV3853-101,8c48735a-c504-57b0-bede-44dfcece99e7,White/Light Orewood Brown/Phantom/Obsidian,130,130.0,False,False,False,False,False,COMING_SOON,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1abaae51-d7c4-4ca6-8e2b-8133b90d168b/image.jpg"
73,5a42040d-48c1-52a0-95e4-6fff7013851fa5af0d29-a87e-52d8-8fe3-7544d2e0962e,5a42040d-48c1-52a0-95e4-6fff7013851f,7e97af00-6624-4b26-8dc5-af46dddd5d78,af46dddd5d78,3,Nike Pegasus 40,Men's Road Running Shoes,running,FOOTWEAR,USD,130,130.0,False,White/Coconut Milk/Volt/Multi-Color,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","A springy ride for every run, the Peg’s familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. Whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/pegasus-40-mens-road-running-shoes-h3bxQl/DV3853-101,a5af0d29-a87e-52d8-8fe3-7544d2e0962e,Black/Iron Grey/White,130,130.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/52c7509c-8f27-4860-a869-a0e23912daf8/image.jpg"
74,5a42040d-48c1-52a0-95e4-6fff7013851fec28463c-e2b6-5841-9e40-77a7961acafc,5a42040d-48c1-52a0-95e4-6fff7013851f,7e97af00-6624-4b26-8dc5-af46dddd5d78,af46dddd5d78,4,Nike Pegasus 40,Men's Road Running Shoes,running,FOOTWEAR,USD,130,130.0,False,White/Coconut Milk/Volt/Multi-Color,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","A springy ride for every run, the Peg’s familiar, just-for-you feel returns to help you accomplish your goals. This version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. Whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/pegasus-40-mens-road-running-shoes-h3bxQl/DV3853-101,ec28463c-e2b6-5841-9e40-77a7961acafc,Black/Light Crimson/White,130,130.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/41212b15-c110-4d60-95f2-8d1d3ddf8150/image.jpg"
