,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
472,b64d08e0-c90f-56d9-9f5b-85c57bd2015bb64d08e0-c90f-56d9-9f5b-85c57bd2015b,b64d08e0-c90f-56d9-9f5b-85c57bd2015b,ef6daf77-3753-4941-ba2e-97831e97980f,97831e97980f,1,Nike Zoom Mercurial Superfly 9 Elite FG,Firm-Ground Soccer Cleats,soccer,FOOTWEAR,USD,275,275.0,False,Pink Blast/Gridiron/Volt,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Instantly tilt the field in the bold design of the Superfly 9 Elite FG. We added a Zoom Air unit, made specifically for soccer, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Feel the explosive speed as you race around the field, making the critical plays with velocity and pace. Fast is in the Air.",4.4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/zoom-mercurial-superfly-9-elite-fg-firm-ground-soccer-cleats-sb8gJK/DJ4977-605,b64d08e0-c90f-56d9-9f5b-85c57bd2015b,Pink Blast/Gridiron/Volt,275,275.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4e3484f1-9a87-45df-b0f9-0c3e0deef7a6/image.jpg"
473,b64d08e0-c90f-56d9-9f5b-85c57bd2015be0eca342-5b47-5ce2-98e8-0f3b7abe06a4,b64d08e0-c90f-56d9-9f5b-85c57bd2015b,ef6daf77-3753-4941-ba2e-97831e97980f,97831e97980f,2,Nike Zoom Mercurial Superfly 9 Elite FG,Firm-Ground Soccer Cleats,soccer,FOOTWEAR,USD,275,275.0,False,Pink Blast/Gridiron/Volt,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Instantly tilt the field in the bold design of the Superfly 9 Elite FG. We added a Zoom Air unit, made specifically for soccer, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Feel the explosive speed as you race around the field, making the critical plays with velocity and pace. Fast is in the Air.",4.4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/zoom-mercurial-superfly-9-elite-fg-firm-ground-soccer-cleats-sb8gJK/DJ4977-605,e0eca342-5b47-5ce2-98e8-0f3b7abe06a4,Black/Summit White/Volt/Dark Smoke Grey,275,275.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/ae72f2fa-717d-4c68-8b39-b24fbfb99bea/image.jpg"
474,b64d08e0-c90f-56d9-9f5b-85c57bd2015bdbf861e9-3634-5963-af63-85029a4424e6,b64d08e0-c90f-56d9-9f5b-85c57bd2015b,ef6daf77-3753-4941-ba2e-97831e97980f,97831e97980f,3,Nike Zoom Mercurial Superfly 9 Elite FG,Firm-Ground Soccer Cleats,soccer,FOOTWEAR,USD,275,275.0,False,Pink Blast/Gridiron/Volt,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Instantly tilt the field in the bold design of the Superfly 9 Elite FG. We added a Zoom Air unit, made specifically for soccer, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Feel the explosive speed as you race around the field, making the critical plays with velocity and pace. Fast is in the Air.",4.4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/zoom-mercurial-superfly-9-elite-fg-firm-ground-soccer-cleats-sb8gJK/DJ4977-605,dbf861e9-3634-5963-af63-85029a4424e6,Metallic Copper/Metallic Copper,280,238.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/54c53a93-93c3-416b-b04d-cd8e4867b935/image.jpg"
475,b64d08e0-c90f-56d9-9f5b-85c57bd2015b4d2efa3d-5b15-5fdf-a882-95d88727efba,b64d08e0-c90f-56d9-9f5b-85c57bd2015b,ef6daf77-3753-4941-ba2e-97831e97980f,97831e97980f,4,Nike Zoom Mercurial Superfly 9 Elite FG,Firm-Ground Soccer Cleats,soccer,FOOTWEAR,USD,275,275.0,False,Pink Blast/Gridiron/Volt,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Instantly tilt the field in the bold design of the Superfly 9 Elite FG. We added a Zoom Air unit, made specifically for soccer, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Feel the explosive speed as you race around the field, making the critical plays with velocity and pace. Fast is in the Air.",4.4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/zoom-mercurial-superfly-9-elite-fg-firm-ground-soccer-cleats-sb8gJK/DJ4977-605,4d2efa3d-5b15-5fdf-a882-95d88727efba,White/Coconut Milk/Bright Crimson/Off Noir,275,275.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/20b65aec-a359-4495-aede-f4781c29df89/image.jpg"
476,b64d08e0-c90f-56d9-9f5b-85c57bd2015ba49dcae4-29a7-55e0-bfac-9f8e7536c060,b64d08e0-c90f-56d9-9f5b-85c57bd2015b,ef6daf77-3753-4941-ba2e-97831e97980f,97831e97980f,5,Nike Zoom Mercurial Superfly 9 Elite FG,Firm-Ground Soccer Cleats,soccer,FOOTWEAR,USD,275,275.0,False,Pink Blast/Gridiron/Volt,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Instantly tilt the field in the bold design of the Superfly 9 Elite FG. We added a Zoom Air unit, made specifically for soccer, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Feel the explosive speed as you race around the field, making the critical plays with velocity and pace. Fast is in the Air.",4.4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/zoom-mercurial-superfly-9-elite-fg-firm-ground-soccer-cleats-sb8gJK/DJ4977-605,a49dcae4-29a7-55e0-bfac-9f8e7536c060,Yellow Strike/Barely Grape/Coconut Milk/Sunset Glow,275,275.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/9f22e494-8110-404b-8616-f483163e0aec/image.jpg"
477,b64d08e0-c90f-56d9-9f5b-85c57bd2015be6406066-f4aa-5944-8f0d-62d0496ebc4f,b64d08e0-c90f-56d9-9f5b-85c57bd2015b,ef6daf77-3753-4941-ba2e-97831e97980f,97831e97980f,6,Nike Zoom Mercurial Superfly 9 Elite FG,Firm-Ground Soccer Cleats,soccer,FOOTWEAR,USD,275,275.0,False,Pink Blast/Gridiron/Volt,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Instantly tilt the field in the bold design of the Superfly 9 Elite FG. We added a Zoom Air unit, made specifically for soccer, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Feel the explosive speed as you race around the field, making the critical plays with velocity and pace. Fast is in the Air.",4.4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/zoom-mercurial-superfly-9-elite-fg-firm-ground-soccer-cleats-sb8gJK/DJ4977-605,e6406066-f4aa-5944-8f0d-62d0496ebc4f,White/Pink Blast/Indigo Haze/Baltic Blue,275,275.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b12577db-0a1f-479f-9932-8a486b4c0bff/image.jpg"
478,b64d08e0-c90f-56d9-9f5b-85c57bd2015bf0cd5a85-85d5-509d-bea8-e7fdc211cc22,b64d08e0-c90f-56d9-9f5b-85c57bd2015b,ef6daf77-3753-4941-ba2e-97831e97980f,97831e97980f,7,Nike Zoom Mercurial Superfly 9 Elite FG,Firm-Ground Soccer Cleats,soccer,FOOTWEAR,USD,275,275.0,False,Pink Blast/Gridiron/Volt,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Instantly tilt the field in the bold design of the Superfly 9 Elite FG. We added a Zoom Air unit, made specifically for soccer, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Feel the explosive speed as you race around the field, making the critical plays with velocity and pace. Fast is in the Air.",4.4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/zoom-mercurial-superfly-9-elite-fg-firm-ground-soccer-cleats-sb8gJK/DJ4977-605,f0cd5a85-85d5-509d-bea8-e7fdc211cc22,Barely Green/Total Orange/Ghost Green/Blackened Blue,275,275.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1481dc05-061e-4112-a24c-98e0c48b1347/image.jpg"
479,b64d08e0-c90f-56d9-9f5b-85c57bd2015b54e55863-8dfb-5fed-9cdf-e77930995993,b64d08e0-c90f-56d9-9f5b-85c57bd2015b,ef6daf77-3753-4941-ba2e-97831e97980f,97831e97980f,8,Nike Zoom Mercurial Superfly 9 Elite FG,Firm-Ground Soccer Cleats,soccer,FOOTWEAR,USD,275,275.0,False,Pink Blast/Gridiron/Volt,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Instantly tilt the field in the bold design of the Superfly 9 Elite FG. We added a Zoom Air unit, made specifically for soccer, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Feel the explosive speed as you race around the field, making the critical plays with velocity and pace. Fast is in the Air.",4.4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/zoom-mercurial-superfly-9-elite-fg-firm-ground-soccer-cleats-sb8gJK/DJ4977-605,54e55863-8dfb-5fed-9cdf-e77930995993,Cobalt Bliss/Fuchsia Dream/Hot Punch/Black,295,295.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/2f514b94-079f-461f-bb7b-f420b94e2686/image.jpg"
480,23bd61f6-8c6f-53b0-98d4-914f8ea0d64523bd61f6-8c6f-53b0-98d4-914f8ea0d645,23bd61f6-8c6f-53b0-98d4-914f8ea0d645,4f43cfda-d815-468e-976e-3ea49347249a,3ea49347249a,1,Nike Zoom Mercurial Vapor 15 Elite FG,Firm Ground Soccer Cleats,soccer,FOOTWEAR,USD,250,250.0,False,Pink Blast/Gridiron/Volt,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The field is yours when you lace up in the Vapor 15 Elite FG. We added a Zoom Air unit, made specifically for soccer, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Feel the explosive speed as you race around the field, making the critical plays with velocity and pace. Fast is in the Air.",4.6,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/zoom-mercurial-vapor-15-elite-fg-firm-ground-soccer-cleats-NLZxDR/DJ4978-605,23bd61f6-8c6f-53b0-98d4-914f8ea0d645,Pink Blast/Gridiron/Volt,250,250.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1ca2b1eb-ec53-42f1-84b6-adc37e488e15/image.jpg"
481,23bd61f6-8c6f-53b0-98d4-914f8ea0d645a1554dd5-5d5e-5e97-8bb6-d2cb26851655,23bd61f6-8c6f-53b0-98d4-914f8ea0d645,4f43cfda-d815-468e-976e-3ea49347249a,3ea49347249a,2,Nike Zoom Mercurial Vapor 15 Elite FG,Firm Ground Soccer Cleats,soccer,FOOTWEAR,USD,250,250.0,False,Pink Blast/Gridiron/Volt,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The field is yours when you lace up in the Vapor 15 Elite FG. We added a Zoom Air unit, made specifically for soccer, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Feel the explosive speed as you race around the field, making the critical plays with velocity and pace. Fast is in the Air.",4.6,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/zoom-mercurial-vapor-15-elite-fg-firm-ground-soccer-cleats-NLZxDR/DJ4978-605,a1554dd5-5d5e-5e97-8bb6-d2cb26851655,White/Pink Blast/Indigo Haze/Baltic Blue,250,250.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/8601b1f4-88b1-4416-bdb0-a88aff71fa32/image.jpg"
