,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
223,698e8792-67c4-52d6-b32a-e13541ebc67b698e8792-67c4-52d6-b32a-e13541ebc67b,698e8792-67c4-52d6-b32a-e13541ebc67b,354a96cf-49a7-416f-92b2-34ae922d628d,34ae922d628d,1,NikeCourt Air Zoom Vapor 11,Men's Hard Court Tennis Shoes,tennis,FOOTWEAR,USD,160,160.0,False,Gridiron/Mineral Teal/Action Green/Bright Cactus,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Validated by the greats of the game, the Vapor 11 is back and better than ever. Lower to the court and loaded with speed components, it helps you play at a fast pace with enough support to keep you bobbing and weaving for sets on end. Mainstays like the ultra-trusted molded sidewall and breathable upper complement a durable, quick-moving design that you’ve come to know and love.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/nikecourt-air-zoom-vapor-11-mens-hard-court-tennis-shoes-jdHWL8/DR6966-003,698e8792-67c4-52d6-b32a-e13541ebc67b,Gridiron/Mineral Teal/Action Green/Bright Cactus,160,160.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/d3b7de73-a128-41a5-baec-07e6e1a0348c/image.jpg"
224,698e8792-67c4-52d6-b32a-e13541ebc67b65f18798-db06-5ec0-b4f8-26fffede8d89,698e8792-67c4-52d6-b32a-e13541ebc67b,354a96cf-49a7-416f-92b2-34ae922d628d,34ae922d628d,2,NikeCourt Air Zoom Vapor 11,Men's Hard Court Tennis Shoes,tennis,FOOTWEAR,USD,160,160.0,False,Gridiron/Mineral Teal/Action Green/Bright Cactus,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Validated by the greats of the game, the Vapor 11 is back and better than ever. Lower to the court and loaded with speed components, it helps you play at a fast pace with enough support to keep you bobbing and weaving for sets on end. Mainstays like the ultra-trusted molded sidewall and breathable upper complement a durable, quick-moving design that you’ve come to know and love.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/nikecourt-air-zoom-vapor-11-mens-hard-court-tennis-shoes-jdHWL8/DR6966-003,65f18798-db06-5ec0-b4f8-26fffede8d89,Photon Dust/Baltic Blue/Ashen Slate/Game Royal,160,136.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/3871e2aa-b474-4fc5-827d-f72ea8c22c82/image.jpg"
225,698e8792-67c4-52d6-b32a-e13541ebc67bf3a4479e-0051-5787-af2d-8a8596f105a8,698e8792-67c4-52d6-b32a-e13541ebc67b,354a96cf-49a7-416f-92b2-34ae922d628d,34ae922d628d,3,NikeCourt Air Zoom Vapor 11,Men's Hard Court Tennis Shoes,tennis,FOOTWEAR,USD,160,160.0,False,Gridiron/Mineral Teal/Action Green/Bright Cactus,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Validated by the greats of the game, the Vapor 11 is back and better than ever. Lower to the court and loaded with speed components, it helps you play at a fast pace with enough support to keep you bobbing and weaving for sets on end. Mainstays like the ultra-trusted molded sidewall and breathable upper complement a durable, quick-moving design that you’ve come to know and love.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/nikecourt-air-zoom-vapor-11-mens-hard-court-tennis-shoes-jdHWL8/DR6966-003,f3a4479e-0051-5787-af2d-8a8596f105a8,White/Summit White/Black,160,160.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/5f686c72-961d-4169-b430-f93dab0685ad/image.jpg"
226,698e8792-67c4-52d6-b32a-e13541ebc67bb0a462c7-756a-50f3-8cbd-7bd21609f3ee,698e8792-67c4-52d6-b32a-e13541ebc67b,354a96cf-49a7-416f-92b2-34ae922d628d,34ae922d628d,4,NikeCourt Air Zoom Vapor 11,Men's Hard Court Tennis Shoes,tennis,FOOTWEAR,USD,160,160.0,False,Gridiron/Mineral Teal/Action Green/Bright Cactus,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Validated by the greats of the game, the Vapor 11 is back and better than ever. Lower to the court and loaded with speed components, it helps you play at a fast pace with enough support to keep you bobbing and weaving for sets on end. Mainstays like the ultra-trusted molded sidewall and breathable upper complement a durable, quick-moving design that you’ve come to know and love.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/nikecourt-air-zoom-vapor-11-mens-hard-court-tennis-shoes-jdHWL8/DR6966-003,b0a462c7-756a-50f3-8cbd-7bd21609f3ee,White/Picante Red/Black/Fuchsia Dream,160,136.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/77d360e4-d493-4b5d-a9d7-fffb060eced4/nikecourt-air-zoom-vapor-11-mens-hard-court-tennis-shoes-jdHWL8.jpg"
227,698e8792-67c4-52d6-b32a-e13541ebc67b2f7457cd-db03-57fb-a5ad-dd8deb85d011,698e8792-67c4-52d6-b32a-e13541ebc67b,354a96cf-49a7-416f-92b2-34ae922d628d,34ae922d628d,5,NikeCourt Air Zoom Vapor 11,Men's Hard Court Tennis Shoes,tennis,FOOTWEAR,USD,160,160.0,False,Gridiron/Mineral Teal/Action Green/Bright Cactus,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Validated by the greats of the game, the Vapor 11 is back and better than ever. Lower to the court and loaded with speed components, it helps you play at a fast pace with enough support to keep you bobbing and weaving for sets on end. Mainstays like the ultra-trusted molded sidewall and breathable upper complement a durable, quick-moving design that you’ve come to know and love.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/nikecourt-air-zoom-vapor-11-mens-hard-court-tennis-shoes-jdHWL8/DR6966-003,2f7457cd-db03-57fb-a5ad-dd8deb85d011,Black/Anthracite/White,160,160.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4f53df4a-439e-4b8a-90e1-69068f04514d/image.jpg"
228,60bba2ff-3dc8-5b3e-8941-0903aef25b2460bba2ff-3dc8-5b3e-8941-0903aef25b24,60bba2ff-3dc8-5b3e-8941-0903aef25b24,c53195b2-d834-46ca-9365-29f692fbf514,29f692fbf514,1,NikeCourt Air Zoom Vapor 11,Women's Hard Court Tennis Shoes,tennis,FOOTWEAR,USD,160,160.0,False,Sail/Cobalt Bliss/Bright Cactus,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Validated by the greats of the game, the Vapor 11 is back and better than ever. Lower to the court and loaded with speed components, it helps you play at a fast pace with enough support to keep you bobbing and weaving for sets on end. Mainstays like the ultra-trusted molded sidewall and breathable upper complement a durable, quick-moving design that you’ve come to know and love.",4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/nikecourt-air-zoom-vapor-11-womens-hard-court-tennis-shoes-jFxzWK/DR6965-103,60bba2ff-3dc8-5b3e-8941-0903aef25b24,Sail/Cobalt Bliss/Bright Cactus,160,160.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b4b41a95-4267-4aa7-bb92-ccdd58ebbda5/image.jpg"
229,60bba2ff-3dc8-5b3e-8941-0903aef25b24eb901099-cda7-5329-b113-868820e042ce,60bba2ff-3dc8-5b3e-8941-0903aef25b24,c53195b2-d834-46ca-9365-29f692fbf514,29f692fbf514,2,NikeCourt Air Zoom Vapor 11,Women's Hard Court Tennis Shoes,tennis,FOOTWEAR,USD,160,160.0,False,Sail/Cobalt Bliss/Bright Cactus,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Validated by the greats of the game, the Vapor 11 is back and better than ever. Lower to the court and loaded with speed components, it helps you play at a fast pace with enough support to keep you bobbing and weaving for sets on end. Mainstays like the ultra-trusted molded sidewall and breathable upper complement a durable, quick-moving design that you’ve come to know and love.",4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/nikecourt-air-zoom-vapor-11-womens-hard-court-tennis-shoes-jFxzWK/DR6965-103,eb901099-cda7-5329-b113-868820e042ce,White/Summit White/Black,160,136.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c0d08d98-e78d-414c-b0ce-f219d6fb3e84/image.jpg"
230,60bba2ff-3dc8-5b3e-8941-0903aef25b249dbe4c6e-b451-5ec5-9877-b746522d8910,60bba2ff-3dc8-5b3e-8941-0903aef25b24,c53195b2-d834-46ca-9365-29f692fbf514,29f692fbf514,3,NikeCourt Air Zoom Vapor 11,Women's Hard Court Tennis Shoes,tennis,FOOTWEAR,USD,160,160.0,False,Sail/Cobalt Bliss/Bright Cactus,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Validated by the greats of the game, the Vapor 11 is back and better than ever. Lower to the court and loaded with speed components, it helps you play at a fast pace with enough support to keep you bobbing and weaving for sets on end. Mainstays like the ultra-trusted molded sidewall and breathable upper complement a durable, quick-moving design that you’ve come to know and love.",4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/nikecourt-air-zoom-vapor-11-womens-hard-court-tennis-shoes-jFxzWK/DR6965-103,9dbe4c6e-b451-5ec5-9877-b746522d8910,White/Fuchsia Dream/Black/Citron Tint,160,136.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/0b25f985-8c26-4a20-8caa-d7d4c27adac8/image.jpg"
231,60bba2ff-3dc8-5b3e-8941-0903aef25b24939cd755-3dcf-5b72-acd8-5187166b3290,60bba2ff-3dc8-5b3e-8941-0903aef25b24,c53195b2-d834-46ca-9365-29f692fbf514,29f692fbf514,4,NikeCourt Air Zoom Vapor 11,Women's Hard Court Tennis Shoes,tennis,FOOTWEAR,USD,160,160.0,False,Sail/Cobalt Bliss/Bright Cactus,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Validated by the greats of the game, the Vapor 11 is back and better than ever. Lower to the court and loaded with speed components, it helps you play at a fast pace with enough support to keep you bobbing and weaving for sets on end. Mainstays like the ultra-trusted molded sidewall and breathable upper complement a durable, quick-moving design that you’ve come to know and love.",4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/nikecourt-air-zoom-vapor-11-womens-hard-court-tennis-shoes-jFxzWK/DR6965-103,939cd755-3dcf-5b72-acd8-5187166b3290,Black/Anthracite/White,160,160.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/291ff7f9-0101-419c-9fc4-e4b73843962e/image.jpg"
232,7791440f-aeee-54c9-a437-dc8374475e4b7791440f-aeee-54c9-a437-dc8374475e4b,7791440f-aeee-54c9-a437-dc8374475e4b,ef798cd9-a51c-4907-bd88-01caa3c6f10b,01caa3c6f10b,1,NikeCourt Air Zoom Vapor AJ3,Men's Hard Court Tennis Shoes,tennis,FOOTWEAR,USD,180,180.0,False,White/Black/Dark Grey/Racer Blue,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Bring MJ’s swagger with you from the hardwood to the hard court. Inspired by MJ’s 2nd slam dunk contest win and subsequent Jumpman logo that was birthed from the title, the Nike Vapor AJ3 brings 1 of the sneaker’s world’s most notable sneakers to the tennis sphere. The iconic elephant print, a special request from MJ back in 1988, highlights a classic white-and-blue look. It takes everything you love about the NikeCourt Air Zoom Vapor X and makes it lighter and more supportive with MJ’s touch.",,False,False,False,True,False,False,False,False,True,False,False,False,False,COMING_SOON,,https://www.nike.com/t/nikecourt-air-zoom-vapor-aj3-mens-hard-court-tennis-shoes-ZD64vj/DV9367-100,7791440f-aeee-54c9-a437-dc8374475e4b,White/Black/Dark Grey/Racer Blue,180,180.0,False,False,False,False,False,COMING_SOON,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/07e328a8-79d4-4385-ade5-4f69a44db164/image.jpg"
