,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
122,985aa1e3-cc26-5bf4-beb2-cc397a1094b9985aa1e3-cc26-5bf4-beb2-cc397a1094b9,985aa1e3-cc26-5bf4-beb2-cc397a1094b9,774a21b2-a9c2-41b1-ae88-7375989a335d,7375989a335d,1,Nike Free Metcon 4,Training Shoes,training,FOOTWEAR,USD,120,102.97,True,Light Crimson/Flat Pewter/Gum Medium Brown/Phantom,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/free-metcon-4-training-shoes-KX41Bv/CT3886-602,985aa1e3-cc26-5bf4-beb2-cc397a1094b9,Light Crimson/Flat Pewter/Gum Medium Brown/Phantom,120,102.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/fffcad8e-18ad-4ea3-9c18-bb2c819f38f0/image.jpg"
123,985aa1e3-cc26-5bf4-beb2-cc397a1094b94b72f6c9-5728-5c73-b52b-8d63f3f1993c,985aa1e3-cc26-5bf4-beb2-cc397a1094b9,774a21b2-a9c2-41b1-ae88-7375989a335d,7375989a335d,2,Nike Free Metcon 4,Training Shoes,training,FOOTWEAR,USD,120,102.97,True,Light Crimson/Flat Pewter/Gum Medium Brown/Phantom,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/free-metcon-4-training-shoes-KX41Bv/CT3886-602,4b72f6c9-5728-5c73-b52b-8d63f3f1993c,Mint Foam/Barely Green/Cave Purple/Ghost Green,120,120.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/15989f45-9d49-4c9a-8e02-f9ed1d8a0aa0/image.jpg"
124,985aa1e3-cc26-5bf4-beb2-cc397a1094b95bde6c43-7b35-5637-94a7-52649f91f4ee,985aa1e3-cc26-5bf4-beb2-cc397a1094b9,774a21b2-a9c2-41b1-ae88-7375989a335d,7375989a335d,3,Nike Free Metcon 4,Training Shoes,training,FOOTWEAR,USD,120,102.97,True,Light Crimson/Flat Pewter/Gum Medium Brown/Phantom,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/free-metcon-4-training-shoes-KX41Bv/CT3886-602,5bde6c43-7b35-5637-94a7-52649f91f4ee,Pro Green/Black/White/Pro Green,120,120.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/31320bac-edac-4593-acc1-92b7a04fb608/image.jpg"
125,985aa1e3-cc26-5bf4-beb2-cc397a1094b923d86f99-80fa-5eee-9a8a-5c249f467cfc,985aa1e3-cc26-5bf4-beb2-cc397a1094b9,774a21b2-a9c2-41b1-ae88-7375989a335d,7375989a335d,4,Nike Free Metcon 4,Training Shoes,training,FOOTWEAR,USD,120,102.97,True,Light Crimson/Flat Pewter/Gum Medium Brown/Phantom,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/free-metcon-4-training-shoes-KX41Bv/CT3886-602,23d86f99-80fa-5eee-9a8a-5c249f467cfc,Team Red/Cave Purple/Bright Crimson,120,92.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/029605ed-185c-4e66-bbbe-215052658bd6/image.jpg"
126,985aa1e3-cc26-5bf4-beb2-cc397a1094b9b0d388f9-7f5e-5ac7-bb87-089a3ad24410,985aa1e3-cc26-5bf4-beb2-cc397a1094b9,774a21b2-a9c2-41b1-ae88-7375989a335d,7375989a335d,5,Nike Free Metcon 4,Training Shoes,training,FOOTWEAR,USD,120,102.97,True,Light Crimson/Flat Pewter/Gum Medium Brown/Phantom,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/free-metcon-4-training-shoes-KX41Bv/CT3886-602,b0d388f9-7f5e-5ac7-bb87-089a3ad24410,Anthracite/White/Blue Lightning/Citron Tint,120,102.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/a22f19be-c9b6-4c01-85ea-f513b2be8180/image.jpg"
127,985aa1e3-cc26-5bf4-beb2-cc397a1094b994817406-21df-53f0-b786-9bfe7f227570,985aa1e3-cc26-5bf4-beb2-cc397a1094b9,774a21b2-a9c2-41b1-ae88-7375989a335d,7375989a335d,6,Nike Free Metcon 4,Training Shoes,training,FOOTWEAR,USD,120,102.97,True,Light Crimson/Flat Pewter/Gum Medium Brown/Phantom,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/free-metcon-4-training-shoes-KX41Bv/CT3886-602,94817406-21df-53f0-b786-9bfe7f227570,Team Maroon/Black/White/Team Maroon,120,120.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/cf0c4819-f09b-4d8e-b08c-5c8ca990ee83/image.jpg"
128,985aa1e3-cc26-5bf4-beb2-cc397a1094b9021f04d1-6249-5270-8be1-4242578e0250,985aa1e3-cc26-5bf4-beb2-cc397a1094b9,774a21b2-a9c2-41b1-ae88-7375989a335d,7375989a335d,7,Nike Free Metcon 4,Training Shoes,training,FOOTWEAR,USD,120,102.97,True,Light Crimson/Flat Pewter/Gum Medium Brown/Phantom,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/free-metcon-4-training-shoes-KX41Bv/CT3886-602,021f04d1-6249-5270-8be1-4242578e0250,Black/Iron Grey/Volt/Black,120,120.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4fa65f97-c9a9-4446-847f-fa73db77c681/image.jpg"
129,985aa1e3-cc26-5bf4-beb2-cc397a1094b953dea5bc-5d36-5c8c-bb54-55a8fecea533,985aa1e3-cc26-5bf4-beb2-cc397a1094b9,774a21b2-a9c2-41b1-ae88-7375989a335d,7375989a335d,8,Nike Free Metcon 4,Training Shoes,training,FOOTWEAR,USD,120,102.97,True,Light Crimson/Flat Pewter/Gum Medium Brown/Phantom,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/free-metcon-4-training-shoes-KX41Bv/CT3886-602,53dea5bc-5d36-5c8c-bb54-55a8fecea533,Dark Smoke Grey/Smoke Grey/Light Smoke Grey/Black,120,120.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/82ddc691-dfe5-4fe0-913c-38e17ecfdb60/image.jpg"
130,985aa1e3-cc26-5bf4-beb2-cc397a1094b9a134236f-3c64-5229-96b6-8c3fe7e33a3c,985aa1e3-cc26-5bf4-beb2-cc397a1094b9,774a21b2-a9c2-41b1-ae88-7375989a335d,7375989a335d,9,Nike Free Metcon 4,Training Shoes,training,FOOTWEAR,USD,120,102.97,True,Light Crimson/Flat Pewter/Gum Medium Brown/Phantom,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",4.6,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/free-metcon-4-training-shoes-KX41Bv/CT3886-602,a134236f-3c64-5229-96b6-8c3fe7e33a3c,Iron Grey/Grey Fog/White/Black,120,120.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/342243ca-132d-4f7f-8734-44fd37d91985/image.jpg"
131,d9fa37a0-3061-5bef-8af8-86f76cb2bdf3d9fa37a0-3061-5bef-8af8-86f76cb2bdf3,d9fa37a0-3061-5bef-8af8-86f76cb2bdf3,6ecb146d-4a3f-4a01-9eaa-afdc47974c21,afdc47974c21,1,Nike SuperRep Go 3 Flyknit Next Nature,Women's Training Shoes,training,FOOTWEAR,USD,100,100.0,False,Desert Berry/Barely Rose/Elemental Pink/Sail,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The new Nike SuperRep Go 3 Flyknit is a radical design story rooted in innovation. Made with at least 20% recycled content by weight, the zoned Flyknit construction wraps your foot in 360 degrees of comfort and support. A finely ground, reclaimed foam midsole gives you responsive cushioning for high-impact training. The lightweight, packable design lets you keep them close, no matter where your next workout takes you.",4.5,False,False,True,False,False,False,False,False,False,False,False,False,True,IN_STOCK,,https://www.nike.com/t/superrep-go-3-flyknit-next-nature-womens-training-shoes-hSZBdX/DH3393-600,d9fa37a0-3061-5bef-8af8-86f76cb2bdf3,Desert Berry/Barely Rose/Elemental Pink/Sail,100,100.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/36153704-7708-4cf1-9492-958ed1cf5e4c/image.jpg"
