,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
544,a7e083f2-11d7-5f74-8e4b-34c84deb299fa7e083f2-11d7-5f74-8e4b-34c84deb299f,a7e083f2-11d7-5f74-8e4b-34c84deb299f,e5a5db01-1ed5-3774-9f1c-e74efc53d4de,e74efc53d4de,1,Nike React HyperSet,Indoor Court Shoes,volleyball,FOOTWEAR,USD,120,120.0,False,Black/Gum Light Brown/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike React HyperSet gives you excellent traction on indoor courts so you can attack at full-speed, stop on a dime, elevate and land with confidence. The lateral strap and Flywire cables hold your foot in securely, while Nike React foam creates incredible energy return to help keep the quickness in your game.",4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/react-hyperset-indoor-court-shoes-dkQgjQ/CI2955-010,a7e083f2-11d7-5f74-8e4b-34c84deb299f,Black/Gum Light Brown/White,120,120.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/81041fbe-ed9c-4b7a-9eb5-658566b0cc85/image.jpg"
545,a7e083f2-11d7-5f74-8e4b-34c84deb299f9781b33a-cccc-52a7-bec4-1b7421729ea5,a7e083f2-11d7-5f74-8e4b-34c84deb299f,e5a5db01-1ed5-3774-9f1c-e74efc53d4de,e74efc53d4de,2,Nike React HyperSet,Indoor Court Shoes,volleyball,FOOTWEAR,USD,120,120.0,False,Black/Gum Light Brown/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","The Nike React HyperSet gives you excellent traction on indoor courts so you can attack at full-speed, stop on a dime, elevate and land with confidence. The lateral strap and Flywire cables hold your foot in securely, while Nike React foam creates incredible energy return to help keep the quickness in your game.",4,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/react-hyperset-indoor-court-shoes-dkQgjQ/CI2955-010,9781b33a-cccc-52a7-bec4-1b7421729ea5,White/Gum Light Brown/Black,120,120.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c027152f-aefa-4368-8fdb-990b03d6d599/image.jpg"
546,79d30f33-7f40-5e94-8396-221ba4035fd979d30f33-7f40-5e94-8396-221ba4035fd9,79d30f33-7f40-5e94-8396-221ba4035fd9,68123b90-d0bb-339d-82f4-fce44b9e2f35,fce44b9e2f35,1,Nike Zoom HyperAce 2,Women's Volleyball Shoe,volleyball,FOOTWEAR,USD,120,120.0,False,White/University Red,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-106,79d30f33-7f40-5e94-8396-221ba4035fd9,White/University Red,120,120.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/hav6jwrz3caelnjknzxx/image.jpg"
547,79d30f33-7f40-5e94-8396-221ba4035fd984f3433a-4290-5b9c-b469-4e7b4b41b0b1,79d30f33-7f40-5e94-8396-221ba4035fd9,68123b90-d0bb-339d-82f4-fce44b9e2f35,fce44b9e2f35,2,Nike Zoom HyperAce 2,Women's Volleyball Shoe,volleyball,FOOTWEAR,USD,120,120.0,False,White/University Red,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-106,84f3433a-4290-5b9c-b469-4e7b4b41b0b1,White/Black,120,120.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/qqcdasrajcfpopbihybo/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK.jpg"
548,79d30f33-7f40-5e94-8396-221ba4035fd9edadf12f-c494-5b8f-801f-91aae8543bfa,79d30f33-7f40-5e94-8396-221ba4035fd9,68123b90-d0bb-339d-82f4-fce44b9e2f35,fce44b9e2f35,3,Nike Zoom HyperAce 2,Women's Volleyball Shoe,volleyball,FOOTWEAR,USD,120,120.0,False,White/University Red,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-106,edadf12f-c494-5b8f-801f-91aae8543bfa,Black/White,120,120.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4bc80157-8b15-4e3c-ab96-86789f99dae1/image.jpg"
549,79d30f33-7f40-5e94-8396-221ba4035fd95916654e-7573-5e94-adf7-820736a551f3,79d30f33-7f40-5e94-8396-221ba4035fd9,68123b90-d0bb-339d-82f4-fce44b9e2f35,fce44b9e2f35,4,Nike Zoom HyperAce 2,Women's Volleyball Shoe,volleyball,FOOTWEAR,USD,120,120.0,False,White/University Red,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-106,5916654e-7573-5e94-adf7-820736a551f3,White/Game Royal,120,120.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/vd3vlh9tzqrhcwljgutr/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK.jpg"
550,11e0de87-c5f6-51d0-9760-ba30a04d3e4f11e0de87-c5f6-51d0-9760-ba30a04d3e4f,11e0de87-c5f6-51d0-9760-ba30a04d3e4f,cd8a96d1-6145-3ac4-a55e-15fb2e5c32b0,15fb2e5c32b0,1,Nike HyperSpeed Court,Women's Volleyball Shoes,volleyball,FOOTWEAR,USD,90,90.0,False,White/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Designed for agility on the hardwood, the Nike HyperSpeed court uses Zoom Air cushioning under the toes and a grippy sole that gives you traction. The lightweight design is breathable and durable to last you all season.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/hyperspeed-court-womens-volleyball-shoes-vJLCz9/CI2964-100,11e0de87-c5f6-51d0-9760-ba30a04d3e4f,White/Black,90,90.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/eff204fc-da4b-4139-9242-6c65cd9ca1f5/image.jpg"
551,11e0de87-c5f6-51d0-9760-ba30a04d3e4fd3d13bd0-8a63-5a47-ab42-94d19ff3d4ae,11e0de87-c5f6-51d0-9760-ba30a04d3e4f,cd8a96d1-6145-3ac4-a55e-15fb2e5c32b0,15fb2e5c32b0,2,Nike HyperSpeed Court,Women's Volleyball Shoes,volleyball,FOOTWEAR,USD,90,90.0,False,White/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Designed for agility on the hardwood, the Nike HyperSpeed court uses Zoom Air cushioning under the toes and a grippy sole that gives you traction. The lightweight design is breathable and durable to last you all season.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/hyperspeed-court-womens-volleyball-shoes-vJLCz9/CI2964-100,d3d13bd0-8a63-5a47-ab42-94d19ff3d4ae,Black/White,90,90.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/5b8fb6eb-7bf3-4fc2-9d0d-035aba385f92/image.jpg"
552,902fd563-32a6-5bf8-9417-58f750aa9dfb902fd563-32a6-5bf8-9417-58f750aa9dfb,902fd563-32a6-5bf8-9417-58f750aa9dfb,34657877-0ad5-4b3c-9c21-18c7b2780b6e,18c7b2780b6e,1,Giannis Immortality 2,Basketball Shoes,volleyball,FOOTWEAR,USD,85,72.97,True,Light Menta/Lilac/Mint Foam/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Morph into all-timer with the Giannis Immortality 2. A plush foam package combined with a more focused fit in the midfoot in a super lightweight design means you can maintain a high level of intensity and focus when victory hangs in the balance—just like Giannis in the clutch.,4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/giannis-immortality-2-basketball-shoes-X7xj7b/DM0825-300,902fd563-32a6-5bf8-9417-58f750aa9dfb,Light Menta/Lilac/Mint Foam/White,85,72.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/048ee7d4-8b61-420b-a252-2ac66c3f3b87/image.jpg"
553,902fd563-32a6-5bf8-9417-58f750aa9dfbbc7c376e-7013-594b-88ec-2023e066ef93,902fd563-32a6-5bf8-9417-58f750aa9dfb,34657877-0ad5-4b3c-9c21-18c7b2780b6e,18c7b2780b6e,2,Giannis Immortality 2,Basketball Shoes,volleyball,FOOTWEAR,USD,85,72.97,True,Light Menta/Lilac/Mint Foam/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Morph into all-timer with the Giannis Immortality 2. A plush foam package combined with a more focused fit in the midfoot in a super lightweight design means you can maintain a high level of intensity and focus when victory hangs in the balance—just like Giannis in the clutch.,4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/giannis-immortality-2-basketball-shoes-X7xj7b/DM0825-300,bc7c376e-7013-594b-88ec-2023e066ef93,White/Barely Volt/Grey Fog/Black,85,85.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/920f9fea-7e06-4730-9745-776858246bc2/image.jpg"
554,902fd563-32a6-5bf8-9417-58f750aa9dfbdebe02d5-885f-5711-b1e0-ce225c61f966,902fd563-32a6-5bf8-9417-58f750aa9dfb,34657877-0ad5-4b3c-9c21-18c7b2780b6e,18c7b2780b6e,3,Giannis Immortality 2,Basketball Shoes,volleyball,FOOTWEAR,USD,85,72.97,True,Light Menta/Lilac/Mint Foam/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Morph into all-timer with the Giannis Immortality 2. A plush foam package combined with a more focused fit in the midfoot in a super lightweight design means you can maintain a high level of intensity and focus when victory hangs in the balance—just like Giannis in the clutch.,4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/giannis-immortality-2-basketball-shoes-X7xj7b/DM0825-300,debe02d5-885f-5711-b1e0-ce225c61f966,White/Deep Royal Blue/Hyper Pink/Metallic Silver,85,59.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e80e4dee-62f3-46e8-9bed-900e3e7e2326/image.jpg"
555,902fd563-32a6-5bf8-9417-58f750aa9dfbf9948501-816b-52d7-92ba-ac269f4bba85,902fd563-32a6-5bf8-9417-58f750aa9dfb,34657877-0ad5-4b3c-9c21-18c7b2780b6e,18c7b2780b6e,4,Giannis Immortality 2,Basketball Shoes,volleyball,FOOTWEAR,USD,85,72.97,True,Light Menta/Lilac/Mint Foam/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Morph into all-timer with the Giannis Immortality 2. A plush foam package combined with a more focused fit in the midfoot in a super lightweight design means you can maintain a high level of intensity and focus when victory hangs in the balance—just like Giannis in the clutch.,4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/giannis-immortality-2-basketball-shoes-X7xj7b/DM0825-300,f9948501-816b-52d7-92ba-ac269f4bba85,Hot Punch/Oxygen Purple/Pink Foam/Laser Orange,85,72.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/03d237aa-28fe-4f3a-99e2-67b5276d8de4/image.jpg"
556,902fd563-32a6-5bf8-9417-58f750aa9dfbe21dcb70-85f5-5a95-985a-98c1dcebe182,902fd563-32a6-5bf8-9417-58f750aa9dfb,34657877-0ad5-4b3c-9c21-18c7b2780b6e,18c7b2780b6e,5,Giannis Immortality 2,Basketball Shoes,volleyball,FOOTWEAR,USD,85,72.97,True,Light Menta/Lilac/Mint Foam/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Morph into all-timer with the Giannis Immortality 2. A plush foam package combined with a more focused fit in the midfoot in a super lightweight design means you can maintain a high level of intensity and focus when victory hangs in the balance—just like Giannis in the clutch.,4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/giannis-immortality-2-basketball-shoes-X7xj7b/DM0825-300,e21dcb70-85f5-5a95-985a-98c1dcebe182,Cool Grey/Wolf Grey/White/Glacier Blue,85,72.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/bf1c9a8e-af53-47b3-9eac-a501e8870b29/image.jpg"
557,902fd563-32a6-5bf8-9417-58f750aa9dfbdda3d022-eaae-53d2-b494-007ada5a32c9,902fd563-32a6-5bf8-9417-58f750aa9dfb,34657877-0ad5-4b3c-9c21-18c7b2780b6e,18c7b2780b6e,6,Giannis Immortality 2,Basketball Shoes,volleyball,FOOTWEAR,USD,85,72.97,True,Light Menta/Lilac/Mint Foam/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Morph into all-timer with the Giannis Immortality 2. A plush foam package combined with a more focused fit in the midfoot in a super lightweight design means you can maintain a high level of intensity and focus when victory hangs in the balance—just like Giannis in the clutch.,4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/giannis-immortality-2-basketball-shoes-X7xj7b/DM0825-300,dda3d022-eaae-53d2-b494-007ada5a32c9,Cobblestone/Ironstone/Magic Ember/Black,85,59.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/6d275a39-ee54-4231-9ff2-f86ecf55ff33/image.jpg"
558,902fd563-32a6-5bf8-9417-58f750aa9dfb003a4127-b44e-524c-ab03-570053dc1ea9,902fd563-32a6-5bf8-9417-58f750aa9dfb,34657877-0ad5-4b3c-9c21-18c7b2780b6e,18c7b2780b6e,7,Giannis Immortality 2,Basketball Shoes,volleyball,FOOTWEAR,USD,85,72.97,True,Light Menta/Lilac/Mint Foam/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']",Morph into all-timer with the Giannis Immortality 2. A plush foam package combined with a more focused fit in the midfoot in a super lightweight design means you can maintain a high level of intensity and focus when victory hangs in the balance—just like Giannis in the clutch.,4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/giannis-immortality-2-basketball-shoes-X7xj7b/DM0825-300,003a4127-b44e-524c-ab03-570053dc1ea9,Black/Wolf Grey/White/Black,85,72.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/7da61da6-57b8-4f04-9843-d146c79f2d59/image.jpg"
559,2a35fd27-9161-514c-b434-e9e48acbe7e82a35fd27-9161-514c-b434-e9e48acbe7e8,2a35fd27-9161-514c-b434-e9e48acbe7e8,9474a31f-915a-4889-9310-adf5ebaa54cf,adf5ebaa54cf,1,"Zoom Freak 4 ""Greek Coastline""",Basketball Shoes,volleyball,FOOTWEAR,USD,130,80.97,True,White/Black/Barely Volt/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Giannis is an incessant storm of stamina and skill that keeps coming at opponents for 4 quarters or more. The forward-thinking design of his latest signature shoe helps propel you down the court in a lightweight fit that moves with you. It can handle quick changes in direction on both sides of the floor, giving you side-to-side stability and multidirectional traction as you Euro step to the hoop. The colors pay tribute to 1 of the Greek Freak’s favorite coastal getaway spots, in the country he proudly calls home.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/zoom-freak-4-greek-coastline-basketball-shoes-dsLlqf/DJ6149-100,2a35fd27-9161-514c-b434-e9e48acbe7e8,White/Black/Barely Volt/White,130,80.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1d2195b7-532f-4015-82f1-20f45dfb98ac/image.jpg"
560,2a35fd27-9161-514c-b434-e9e48acbe7e855a578cb-702e-59a3-8a77-50c3ab67ea75,2a35fd27-9161-514c-b434-e9e48acbe7e8,9474a31f-915a-4889-9310-adf5ebaa54cf,adf5ebaa54cf,2,"Zoom Freak 4 ""Greek Coastline""",Basketball Shoes,volleyball,FOOTWEAR,USD,130,80.97,True,White/Black/Barely Volt/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Giannis is an incessant storm of stamina and skill that keeps coming at opponents for 4 quarters or more. The forward-thinking design of his latest signature shoe helps propel you down the court in a lightweight fit that moves with you. It can handle quick changes in direction on both sides of the floor, giving you side-to-side stability and multidirectional traction as you Euro step to the hoop. The colors pay tribute to 1 of the Greek Freak’s favorite coastal getaway spots, in the country he proudly calls home.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/zoom-freak-4-greek-coastline-basketball-shoes-dsLlqf/DJ6149-100,55a578cb-702e-59a3-8a77-50c3ab67ea75,Black/Light Smoke Grey/University Blue/White,130,99.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/dd30bba7-ae65-4fc3-975c-454f9b8d7ddd/image.jpg"
561,2a35fd27-9161-514c-b434-e9e48acbe7e81ac45f70-db4e-5200-b82d-dc6c746f3709,2a35fd27-9161-514c-b434-e9e48acbe7e8,9474a31f-915a-4889-9310-adf5ebaa54cf,adf5ebaa54cf,3,"Zoom Freak 4 ""Greek Coastline""",Basketball Shoes,volleyball,FOOTWEAR,USD,130,80.97,True,White/Black/Barely Volt/White,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Giannis is an incessant storm of stamina and skill that keeps coming at opponents for 4 quarters or more. The forward-thinking design of his latest signature shoe helps propel you down the court in a lightweight fit that moves with you. It can handle quick changes in direction on both sides of the floor, giving you side-to-side stability and multidirectional traction as you Euro step to the hoop. The colors pay tribute to 1 of the Greek Freak’s favorite coastal getaway spots, in the country he proudly calls home.",4.7,False,False,True,False,False,False,False,False,False,False,False,False,False,IN_STOCK,,https://www.nike.com/t/zoom-freak-4-greek-coastline-basketball-shoes-dsLlqf/DJ6149-100,1ac45f70-db4e-5200-b82d-dc6c746f3709,Wolf Grey/Cool Grey/Black/White,130,110.97,True,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/81b8c9fb-1cff-43f0-bbfe-ed1970323f40/image.jpg"
